Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745879444.159540900, 00:30:44.130656300, 24, 70, 4
1745879465.367463300, 00:31:05.339629800, 26, 90, 2
1745879481.113846600, 00:31:21.086006900, 16, 70, 4
1745879504.771534500, 00:31:44.746137300, 3, 110, 4
1745879519.552592100, 00:31:59.522513000, 5, 90, 4
1745879536.367030400, 00:32:16.340064800, 11, 70, 4
1745879569.467756600, 00:32:49.443148700, 8, 90, 4
1745879601.728042600, 00:33:21.699551100, 23, 110, 4
1745879616.456778400, 00:33:36.427933800, 15, 90, 4
1745879633.514029100, 00:33:53.484657500, 7, 70, 4
