Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721287710.490757300, 09:28:29.481302400, 11, 70, 2
1721287740.942669000, 09:28:59.943518300, 23, 90, 3
1721287765.001455600, 09:29:24.033779100, 17, 70, 2
1721287786.320891200, 09:29:45.339705600, 24, 90, 3
1721287803.344720600, 09:30:02.405276300, 10, 70, 1
1721287823.854259500, 09:30:22.905140200, 20, 90, 2
1721287840.689427100, 09:30:39.734191900, 1, 110, 4
1721287855.227970600, 09:30:54.283293400, 25, 70, 3
1721287876.113991300, 09:31:15.138566000, 6, 90, 1
1721287892.958381500, 09:31:31.959515500, 7, 110, 1
1721287906.975031400, 09:31:45.987309300, 2, 70, 2
1721287927.607815700, 09:32:06.622667600, 21, 90, 2
1721287950.511688400, 09:32:29.549199000, 26, 110, 3
1721287964.142401000, 09:32:43.104297900, 19, 90, 1
1721287980.796099800, 09:32:59.768594000, 5, 110, 1
1721287996.359179200, 09:33:15.408490300, 15, 70, 3
1721288020.778190600, 09:33:39.801447400, 14, 110, 1
1721288034.698742000, 09:33:53.745541700, 3, 90, 1
1721288051.211121700, 09:34:10.255250800, 22, 70, 1
1721288071.928809300, 09:34:30.980415600, 8, 110, 1
1721288085.880358700, 09:34:44.913648900, 9, 70, 1
1721288106.420468800, 09:35:05.429533600, 13, 110, 1
1721288121.975954600, 09:35:21.036286700, 4, 70, 1
1721288142.518301100, 09:35:41.573033400, 12, 90, 1
1721288159.300045600, 09:35:58.348169600, 16, 70, 1
1721288180.049143800, 09:36:19.105626900, 18, 90, 2
