NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
11,70,8,2.8973162174224854,0.3408244573152982,2
23,90,10,3.881256341934204,0.11707477136091753,3
17,70,8,3.1819772720336914,0.3144271190349872,2
24,90,7,2.3594677448272705,0.23791158199310303,3
10,70,6,1.452007532119751,0.30270568529764813,1
20,90,5,1.348280668258667,0.09939192235469818,2
1,110,10,1.306962013244629,0.15050647475502707,4
25,70,8,1.2069079875946045,0.3400620130392221,3
6,90,5,1.3527026176452637,0.09731930494308472,1
7,110,6,1.1993412971496582,0.03985881805419922,1
2,70,6,1.3186817169189453,0.2962158203125,2
21,90,6,1.3238956928253174,0.10691491762797038,2
26,110,7,1.7557847499847412,0.14966229030064174,3
19,90,6,1.2148292064666748,0.11571435928344727,1
5,110,7,1.748751163482666,0.05285297121320452,1
15,70,5,1.0520567893981934,0.2853277027606964,3
14,110,7,1.676455020904541,0.026343413761683872,1
3,90,6,1.2564105987548828,0.11469143231709798,1
22,70,6,1.3952949047088623,0.3222145716349284,1
8,110,6,1.1981091499328613,0.05279237429300944,1
9,70,6,1.144812822341919,0.3466143767038981,1
13,110,7,1.3667471408843994,0.039622443062918525,1
4,70,6,1.340709924697876,0.30783240000406903,1
12,90,6,1.2866737842559814,0.10110751787821452,1
16,70,6,1.2948262691497803,0.3329788684844971,1
18,90,6,1.3038218021392822,0.12055826187133789,2
