Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721919845.873726800, 17:04:04.701375100, 3, 90, 4
1721919926.181702300, 17:05:25.032352600, 14, 70, 3
1721919971.746893100, 17:06:10.591410200, 6, 90, 5
1721920027.578152300, 17:07:06.419322500, 15, 110, 2
1721920072.706397800, 17:07:51.555822600, 11, 70, 3
1721920124.063479800, 17:08:42.902404300, 18, 110, 2
1721920152.602266200, 17:09:11.572537400, 24, 70, 1
1721920179.764153500, 17:09:38.645295100, 2, 110, 2
1721920199.659415700, 17:09:58.481882900, 19, 90, 3
1721920220.676776500, 17:10:19.542299000, 5, 110, 4
1721920258.029473200, 17:10:56.930326500, 12, 90, 1
1721920282.515098800, 17:11:21.347432200, 22, 70, 3
1721920323.487490200, 17:12:02.356096000, 17, 90, 1
1721920354.793057100, 17:12:33.643339500, 7, 110, 5
1721920425.252968300, 17:13:44.126219600, 10, 70, 4
1721920449.396127100, 17:14:08.224435400, 1, 90, 4
1721920479.747673500, 17:14:38.590284800, 16, 110, 1
1721920498.370390900, 17:14:57.265014100, 13, 90, 2
1721920517.214300100, 17:15:16.059310100, 25, 110, 3
1721920538.907127800, 17:15:37.792021600, 20, 90, 4
1721920557.015974600, 17:15:55.841371600, 4, 110, 5
1721920580.634089300, 17:16:19.467492400, 21, 70, 5
1721920609.480648200, 17:16:48.247390600, 8, 90, 4
1721920628.338918300, 17:17:07.167150600, 9, 70, 5
1721920652.546542600, 17:17:31.436589000, 23, 90, 3
1721920670.951950300, 17:17:49.833910700, 26, 70, 3
