NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
3,90,17,3.958498954772949,0.18162953853607178,4
14,70,6,4.48001766204834,0.1697401205698649,3
6,90,10,4.671321153640747,0.17061010274020108,5
15,110,9,1.952263593673706,0.1959842840830485,2
11,70,6,3.1555588245391846,0.20441358884175617,3
18,110,9,3.5259077548980713,0.18577335278193155,2
24,70,9,4.983989477157593,0.181276003519694,1
2,110,11,4.042205095291138,0.13193261623382568,2
19,90,6,1.8944973945617676,0.15453853607177734,3
5,110,5,2.1239359378814697,0.1359894871711731,4
12,90,9,2.828157424926758,0.17486419280370077,1
22,70,11,3.767296552658081,0.30427329540252684,3
17,90,10,4.2303009033203125,0.05847304517572576,1
7,110,13,4.103207588195801,0.15343749523162842,5
10,70,12,4.924844741821289,0.3004254235161675,4
1,90,10,4.0117223262786865,0.1675356301394376,4
16,110,10,3.2560479640960693,0.06284349614923651,1
13,90,10,3.839918375015259,0.10548884218389337,2
25,110,12,2.8092167377471924,0.15215317408243814,3
20,90,10,4.146522760391235,0.19047778302972967,4
4,110,11,2.349992036819458,0.11184942722320557,5
21,70,5,0.7847621440887451,0.24399064481258392,5
8,90,14,6.201228141784668,0.1437549591064453,4
9,70,10,3.0269508361816406,0.27929091453552246,5
23,90,10,4.048175573348999,0.06884965029629794,3
26,70,10,4.864288330078125,0.31035347418351605,3
