Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745013364.N, 23:56:04.N, 4, 90, 1
1745013382.N, 23:56:22.N, 10, 70, 1
1745013402.N, 23:56:42.N, 13, 110, 1
1745013417.N, 23:56:57.N, 26, 90, 2
1745013434.N, 23:57:14.N, 8, 70, 4
1745013454.N, 23:57:34.N, 19, 110, 2
1745013468.N, 23:57:48.N, 23, 90, 2
1745013485.N, 23:58:05.N, 15, 70, 2
1745013507.N, 23:58:27.N, 18, 90, 1
1745013523.N, 23:58:43.N, 1, 110, 2
1745013537.N, 23:58:57.N, 6, 70, 1
1745013558.N, 23:59:18.N, 20, 90, 3
1745013574.N, 23:59:34.N, 11, 70, 1
1745013594.N, 23:59:54.N, 24, 90, 2
1745013611.N, 00:00:11.N, 2, 110, 4
1745013625.N, 00:00:25.N, 17, 90, 2
1745013641.N, 00:00:41.N, 25, 70, 3
1745013661.N, 00:01:01.N, 3, 110, 2
1745013674.N, 00:01:14.N, 5, 70, 1
1745013696.N, 00:01:36.N, 16, 90, 2
1745013712.N, 00:01:52.N, 7, 70, 1
1745013734.N, 00:02:14.N, 22, 90, 2
1745013750.N, 00:02:30.N, 12, 110, 1
1745013763.N, 00:02:43.N, 21, 90, 2
1745013780.N, 00:03:00.N, 14, 110, 1
1745013793.N, 00:03:13.N, 9, 90, 1
