Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720601308.454661400, 10:48:27.321296700, 14, 70, 3
1720601358.803465300, 10:49:17.641022100, 12, 110, 3
1720601376.973546800, 10:49:35.856962100, 9, 90, 4
1720601396.065771600, 10:49:54.971391300, 13, 110, 2
1720601414.108618600, 10:50:12.987270700, 20, 90, 4
1720601433.050219200, 10:50:31.968690600, 25, 70, 4
1720601457.023908300, 10:50:55.939829400, 8, 110, 3
1720601482.021034900, 10:51:20.931965600, 5, 70, 5
1720601502.947091500, 10:51:41.829287200, 4, 110, 3
1720601555.421849200, 10:52:34.331565100, 11, 70, 2
1720601580.900371100, 10:52:59.737450700, 26, 90, 2
1720601608.607357200, 10:53:27.510671900, 15, 70, 3
1720601634.800261900, 10:53:53.703555200, 21, 90, 1
1720601653.942928200, 10:54:12.842709000, 16, 70, 3
1720601676.847751300, 10:54:35.806657000, 7, 110, 2
1720601692.118856500, 10:54:51.059546600, 17, 70, 5
1720601713.173562200, 10:55:12.108885000, 1, 110, 1
1720601730.399346200, 10:55:29.273915500, 2, 70, 3
1720601753.948777300, 10:55:52.866317500, 18, 110, 2
1720601771.105493700, 10:56:10.043846600, 19, 90, 3
1720601790.619278500, 10:56:29.545226700, 24, 110, 4
1720601806.455959900, 10:56:45.413876100, 6, 70, 4
1720601827.226379600, 10:57:06.168004700, 10, 90, 5
1720601848.929396600, 10:57:27.826946300, 23, 70, 3
1720601870.772657300, 10:57:49.674847000, 22, 110, 3
1720601887.999591800, 10:58:06.935147100, 3, 90, 5
