Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721640427.493062600, 11:27:06.361176000, 8, 90, 4
1721640462.116662000, 11:27:41.096716700, 20, 70, 3
1721640482.848382300, 11:28:01.813442400, 16, 90, 3
1721640522.563219600, 11:28:41.525602500, 2, 70, 2
1721640556.549207600, 11:29:15.486307300, 26, 90, 3
1721640574.242677700, 11:29:33.195299900, 7, 70, 5
1721640595.775976100, 11:29:54.717540000, 14, 90, 4
1721640614.685119700, 11:30:13.642777700, 12, 70, 3
1721640635.487196000, 11:30:34.463049900, 22, 90, 3
1721640653.449169400, 11:30:52.387423000, 6, 110, 3
1721640669.134889800, 11:31:08.069807500, 24, 70, 4
1721640690.156960600, 11:31:29.117277900, 21, 90, 4
1721640707.461470200, 11:31:46.395829900, 5, 110, 5
1721640722.326969100, 11:32:01.275062400, 9, 70, 4
1721640743.908617900, 11:32:22.884405500, 11, 110, 3
1721640758.427060800, 11:32:37.397911600, 15, 90, 2
1721640775.456015500, 11:32:54.434900100, 10, 110, 4
1721640792.192715200, 11:33:10.708388900, 17, 90, 3
1721640809.022767000, 11:33:27.981011300, 25, 70, 3
1721640829.999044700, 11:33:48.963757600, 18, 110, 3
1721640844.389687500, 11:34:03.347394400, 1, 90, 2
1721640861.079292800, 11:34:20.058915100, 3, 70, 4
1721640881.754199800, 11:34:40.732534700, 19, 90, 4
1721640898.624905000, 11:34:57.604801600, 13, 70, 3
1721640919.339346600, 11:35:18.304267000, 4, 110, 5
1721640935.218535100, 11:35:34.195229600, 23, 70, 3
