NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
8,90,13,5.3253819942474365,0.16501930356025696,4
20,70,13,6.067110061645508,0.2768745720386505,3
16,90,9,3.267014503479004,0.15202156702677408,3
2,70,8,4.113762378692627,0.3364098438849816,2
26,90,12,4.2585625648498535,0.14881751272413465,3
7,70,9,3.133788824081421,0.2009829878807068,5
14,90,10,3.431229591369629,0.04120575297962536,4
12,70,10,4.124130487442017,0.2568397955460982,3
22,90,15,7.39053750038147,0.20762757460276285,3
6,110,12,3.0974931716918945,0.11902125676472981,3
24,70,11,2.7906606197357178,0.25830788612365724,4
21,90,13,4.064352989196777,0.18657010793685913,4
5,110,13,3.732060432434082,0.14995348453521729,5
9,70,8,3.2817153930664062,0.17572461641751802,4
11,110,13,3.219158411026001,0.11707139015197754,3
15,90,11,3.193429946899414,0.11512587070465088,2
10,110,13,2.8671257495880127,0.14038828015327454,4
17,90,11,3.2893967628479004,0.12470011711120606,3
25,70,7,3.782984972000122,0.23934400081634521,3
18,110,13,3.7092347145080566,0.12340682744979858,3
1,90,11,1.8874249458312988,0.19609429836273193,2
3,70,10,3.9450361728668213,0.2830435579473322,4
19,90,14,4.1995415687561035,0.13102667672293528,4
13,70,11,3.817040205001831,0.3109593868255615,3
4,110,17,5.741568088531494,0.1926107406616211,5
23,70,11,5.433797121047974,0.2908103704452515,3
