Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745880361.363891400, 00:46:01.325889700, 20, 110, 4
1745880388.159752600, 00:46:28.126042900, 2, 90, 4
1745880411.936454100, 00:46:51.906788500, 6, 110, 4
1745880434.741724200, 00:47:14.716376700, 3, 90, 4
1745880450.438041800, 00:47:30.408413100, 11, 110, 4
1745880463.026161600, 00:47:42.998135100, 14, 90, 4
1745880478.594891200, 00:47:58.565017300, 26, 110, 4
1745880494.676121600, 00:48:14.640703900, 10, 90, 4
1745880512.135406100, 00:48:32.095951500, 16, 110, 4
1745880526.584994900, 00:48:46.546661900, 9, 90, 4
