Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721914488.170591600, 15:34:46.981139100, 26, 110, 3
1721914546.193048900, 15:35:45.050686600, 7, 90, 4
1721914609.614157500, 15:36:48.331650500, 14, 110, 3
1721914627.430326600, 15:37:06.236198300, 16, 70, 3
1721914651.294502900, 15:37:30.092718900, 19, 90, 3
1721914689.214817500, 15:38:08.058649700, 25, 70, 3
1721914719.747271400, 15:38:38.078049900, 4, 90, 3
1721914738.831708100, 15:38:57.655615400, 6, 70, 4
1721914760.521009600, 15:39:19.384280100, 22, 90, 4
1721914778.076993400, 15:39:36.929102700, 23, 110, 3
1721914792.545116200, 15:39:51.387629100, 17, 70, 3
1721914813.779603900, 15:40:12.606876800, 5, 110, 4
1721914828.770084200, 15:40:27.610650600, 21, 90, 4
1721914846.175875800, 15:40:44.965303100, 20, 70, 4
1721914867.580319900, 15:41:06.390250300, 8, 110, 2
1721914884.472970400, 15:41:23.287466500, 18, 70, 4
1721914905.667392200, 15:41:44.542405700, 13, 90, 3
1721914923.631910400, 15:42:02.450455900, 1, 70, 3
1721914945.707266100, 15:42:24.573367500, 9, 90, 3
1721914964.087206000, 15:42:42.923100800, 2, 70, 4
1721914986.076056600, 15:43:04.894148600, 3, 110, 2
1721915001.778689400, 15:43:20.631653000, 24, 90, 3
1721915018.999226700, 15:43:37.850782500, 15, 110, 3
1721915033.835670900, 15:43:52.643533000, 10, 70, 2
1721915054.996898200, 15:44:13.851039000, 11, 110, 1
1721915074.566293600, 15:44:33.414388800, 12, 90, 4
