NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
26,110,17,4.025705099105835,0.11986327171325684,3
7,90,14,2.0997555255889893,0.1772550174168178,4
14,110,13,4.834158658981323,0.10848280787467957,3
16,70,7,2.0556538105010986,0.2787775993347168,3
19,90,11,4.304988861083984,0.19193434715270996,3
25,70,9,1.7005796432495117,0.13801121711730957,3
4,90,10,1.5700008869171143,0.17153950171037155,3
6,70,12,0.7809486389160156,0.2783311472998725,4
22,90,7,1.6968514919281006,0.2434917347771781,4
23,110,12,0.731306791305542,0.13317060470581055,3
17,70,5,0.7499411106109619,0.28914931416511536,3
5,110,13,1.5040855407714844,0.1037747859954834,4
21,90,8,0.7698974609375,0.1592285816486065,4
20,70,8,0.7615101337432861,0.1754920482635498,4
8,110,13,0.7385401725769043,0.14143267273902893,2
18,70,8,0.8652362823486328,0.07880099003131573,4
13,90,17,0.7583696842193604,0.16069060564041138,3
1,70,9,0.8817257881164551,0.2398388385772705,3
9,90,12,0.8222165107727051,0.11898292435540093,3
2,70,4,0.7441332340240479,0.303972230238073,4
3,110,13,0.8126833438873291,0.19137591123580933,2
24,90,8,0.7126858234405518,0.12494466854975773,3
15,110,13,0.8278405666351318,0.12088748812675476,3
10,70,6,0.7871809005737305,0.29855429331461586,2
11,110,11,0.827366828918457,0.15073280334472655,1
12,90,10,1.608884572982788,0.20263088833202014,4
