Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720704012.826314500, 15:20:11.677317800, 24, 70, 3
1720704045.368467100, 15:20:44.148656400, 3, 110, 5
1720704064.581522900, 15:21:03.349860900, 12, 70, 2
1720704087.990602700, 15:21:26.834206000, 13, 90, 1
1720704109.006472700, 15:21:47.855415300, 2, 70, 1
1720704131.381214500, 15:22:10.258850100, 18, 110, 4
1720704152.460844700, 15:22:31.355821900, 9, 90, 2
1720704170.888143400, 15:22:49.782410000, 14, 110, 2
1720704187.744056100, 15:23:06.632569100, 16, 70, 5
1720704212.226125600, 15:23:31.069825300, 23, 90, 4
1720704231.098011800, 15:23:49.992940800, 21, 70, 5
1720704255.862776700, 15:24:14.774487400, 19, 90, 4
1720704274.042816600, 15:24:32.924025800, 26, 70, 3
1720704296.534439200, 15:24:55.418590300, 25, 110, 3
1720704311.520532200, 15:25:10.410329800, 6, 70, 1
1720704332.427123600, 15:25:31.317650700, 5, 90, 2
1720704353.361566600, 15:25:52.245340700, 11, 70, 2
1720704376.003690600, 15:26:14.896969000, 20, 90, 4
1720704393.992652100, 15:26:32.856611900, 10, 110, 4
1720704412.301692400, 15:26:51.156279100, 17, 70, 3
1720704433.624536200, 15:27:12.433385200, 1, 90, 3
1720704450.872918900, 15:27:29.768145400, 4, 110, 3
1720704465.496780900, 15:27:44.363807200, 8, 70, 4
1720704486.718083000, 15:28:05.610481200, 15, 90, 3
1720704506.619377700, 15:28:25.528501600, 7, 70, 4
1720704528.313238200, 15:28:47.160972100, 22, 110, 4
