NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
24,70,8,4.091320991516113,0.30303558936485875,3
3,110,15,4.632272958755493,0.13576928774515787,5
12,70,-4,4.048570156097412,0.2128085231781006,2
13,90,12,4.592907190322876,0.09399501482645671,1
2,70,10,3.24851131439209,0.25987967577847565,1
18,110,11,3.3630714416503906,0.10863368511199951,4
9,90,15,4.030433177947998,0.11004177729288737,2
14,110,10,2.8253467082977295,0.12943220138549805,2
16,70,16,3.514178514480591,0.20076069831848145,5
23,90,11,2.732360601425171,0.12211241722106933,4
21,70,11,3.282853603363037,0.17571454048156737,5
19,90,12,2.071073293685913,0.07933015293545193,4
26,70,14,2.47432541847229,0.1752613271985735,3
25,110,13,2.914088010787964,0.18179228901863098,3
6,70,19,2.394592046737671,0.17033958435058594,1
5,90,16,3.3835866451263428,0.060174179077148435,2
11,70,17,2.442234754562378,0.11491012573242188,2
20,90,15,3.391592502593994,0.07692213853200276,4
10,110,10,2.5535037517547607,0.20838078585537997,4
17,70,15,3.375539541244507,0.10761666297912598,3
1,90,11,2.746864080429077,0.0569655179977417,3
4,110,10,2.8556251525878906,0.14506743170998312,3
8,70,-8,1.7851290702819824,0.204175669571449,4
15,90,8,3.35975980758667,0.0376427357013409,3
7,70,10,4.172343015670776,0.2835946733301336,4
22,110,12,2.9758949279785156,0.23415700594584146,4
