Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721033819.255949200, 10:56:58.035413300, 15, 90, 3
1721033846.971352200, 10:57:25.779131200, 10, 70, 2
1721033869.876802300, 10:57:48.651325600, 5, 110, 2
1721033913.280333000, 10:58:32.062315500, 17, 90, 2
1721033932.593100000, 10:58:51.432830500, 16, 70, 3
1721033954.046707800, 10:59:12.836044900, 21, 110, 4
1721033969.053279900, 10:59:27.866005100, 6, 90, 3
1721033986.055444500, 10:59:44.888496800, 22, 70, 4
1721034007.171235800, 11:00:05.917128700, 7, 110, 2
1721034021.664669600, 11:00:20.447715500, 3, 70, 3
1721034043.006388900, 11:00:41.827221000, 1, 90, 3
1721034060.206275900, 11:00:58.998980800, 24, 70, 4
1721034081.690120600, 11:01:20.435448800, 26, 110, 5
1721034118.081552000, 11:01:56.764789800, 20, 90, 5
1721034136.544732800, 11:02:15.326442600, 23, 70, 3
1721034158.250088900, 11:02:37.043805700, 9, 110, 5
1721034175.657028300, 11:02:54.444502100, 4, 90, 4
1721034193.169759900, 11:03:12.018678500, 13, 110, 2
1721034207.663832900, 11:03:26.447688200, 19, 70, 2
1721034228.767596700, 11:03:47.557740900, 25, 110, 5
1721034252.207312800, 11:04:10.967269200, 14, 70, 3
1721034281.739318300, 11:04:40.545531800, 8, 90, 5
1721034299.324243500, 11:04:58.110357900, 18, 110, 2
1721034315.462746700, 11:05:14.254745600, 2, 70, 5
1721034337.565913900, 11:05:36.285650300, 11, 110, 2
1721034353.351610900, 11:05:52.115571500, 12, 90, 2
