NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
15,90,9,3.947547197341919,0.1589915951093038,3
10,70,11,5.852010250091553,0.1253519296646118,2
5,110,12,4.3074774742126465,0.0371039973364936,2
17,90,8,3.2967987060546875,0.043282655569223255,2
16,70,-5,3.7725746631622314,0.21385348760164702,3
21,110,10,3.6697793006896973,0.18709733269431375,4
6,90,13,4.250433921813965,0.1925194263458252,3
22,70,10,2.3288562297821045,0.131574500690807,4
7,110,12,3.8509562015533447,0.03305514653523763,2
3,70,-2,4.763151407241821,0.21524996342866318,3
1,90,8,3.3200976848602295,0.11332636613112229,3
24,70,-4,3.51161527633667,0.2066999340057373,4
26,110,17,4.256066799163818,0.17156720161437988,5
20,90,16,3.679398775100708,0.22194623947143555,5
23,70,-4,3.9108095169067383,0.2194056797027588,3
9,110,19,1.9842259883880615,0.14969635009765625,5
4,90,12,3.86747145652771,0.17783522605895996,4
13,110,9,2.714726448059082,0.019123971462249756,2
19,70,-4,1.8243334293365479,0.21328163146972656,2
25,110,8,2.6213531494140625,0.1676164590395414,5
14,70,-9,1.8776285648345947,0.20845972696940104,3
8,90,-4,3.6631247997283936,0.16876372337341308,5
18,110,11,2.1530017852783203,0.027139973640441895,2
2,70,11,5.5208494663238525,0.23314187526702881,5
11,110,9,1.9537506103515625,0.07816491524378459,2
12,90,-8,1.9168853759765625,0.15868889874425426,2
