Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749226942.136943000, 18:22:22.130403000, 13, 110, 2
1749226960.240574000, 18:22:40.234130000, 24, 70, 3
1749226980.899129000, 18:23:00.892524000, 22, 110, 2
1749226996.126944000, 18:23:16.120659000, 11, 70, 3
1749227023.312553000, 18:23:43.306264000, 19, 90, 2
1749227039.472464000, 18:23:59.466130000, 10, 70, 3
1749227063.931082000, 18:24:23.924942000, 17, 90, 2
1749227081.839215000, 18:24:41.832981000, 15, 110, 1
1749227095.779397000, 18:24:55.773320000, 1, 70, 1
1749227116.508433000, 18:25:16.502657000, 7, 110, 1
1749227137.206510000, 18:25:37.200492000, 21, 70, 2
1749227157.672364000, 18:25:57.665970000, 6, 90, 2
1749227176.195631000, 18:26:16.189702000, 25, 110, 1
1749227189.693579000, 18:26:29.687356000, 5, 90, 1
1749227206.450820000, 18:26:46.444710000, 23, 110, 2
1749227227.097055000, 18:27:07.090951000, 14, 70, 1
1749227248.557423000, 18:27:28.550366000, 3, 110, 2
1749227263.240197000, 18:27:43.234107000, 18, 70, 2
1749227282.787753000, 18:28:02.781493000, 8, 110, 2
1749227297.523988000, 18:28:17.518066000, 2, 70, 1
1749227323.941668000, 18:28:43.935783000, 12, 110, 1
1749227338.824364000, 18:28:58.817633000, 26, 70, 1
1749227363.375615000, 18:29:23.369544000, 20, 90, 1
1749227380.624536000, 18:29:40.618456000, 4, 110, 1
1749227394.530979000, 18:29:54.524505000, 16, 90, 1
1749227412.575814000, 18:30:12.569863000, 9, 110, 1
