NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
17,70,9,2.0836503505706787,0.21720276276270548,3
12,110,18,4.5156285762786865,0.18985835711161295,3
10,70,11,3.4346373081207275,0.17112433910369873,4
11,90,11,3.6870126724243164,0.1616520643234253,3
1,70,10,3.0844297409057617,0.37188044461337005,3
19,90,9,3.331801176071167,0.08545897404352824,2
16,70,9,4.588479280471802,0.26184258858362836,2
24,90,9,3.8964016437530518,0.1382853388786316,3
26,70,8,4.595365762710571,0.24809752977811372,4
23,110,12,3.3524105548858643,0.13062630759345162,4
9,90,15,5.731682300567627,0.18241210778554282,5
22,110,13,3.50915789604187,0.13443568348884583,4
13,70,7,4.388957262039185,0.20164777551378524,3
25,90,10,3.9750919342041016,0.058637467297640716,4
6,70,8,4.367812871932983,0.27151901905353254,4
20,90,10,3.5829803943634033,0.22198178551413797,3
4,110,14,4.051354885101318,0.12035577637808663,4
14,70,9,3.7231106758117676,0.29697614908218384,2
2,110,16,3.8632545471191406,0.08644142150878906,4
18,70,8,3.822887659072876,0.31134244111868054,4
8,110,14,5.631342172622681,0.10701969691685267,4
5,90,8,3.285484552383423,0.09761243600111741,3
7,70,-3,3.0809736251831055,0.200674037138621,3
15,110,11,3.3360443115234375,0.17041680812835694,4
3,90,9,3.903679370880127,0.25465911626815796,4
21,70,12,3.6623024940490723,0.21047512690226236,3
