Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749229101.564506400, 18:58:21.554330400, 2, 90, 2
1749229132.963458000, 18:58:52.954799700, 4, 110, 2
1749229150.850110300, 18:59:10.838755500, 7, 70, 3
1749229174.145556000, 18:59:34.135783500, 11, 110, 3
1749229190.464757700, 18:59:50.451447300, 13, 70, 3
1749229212.773759400, 19:00:12.761602000, 15, 110, 2
1749229228.101138900, 19:00:28.092167100, 23, 90, 4
1749229246.120818100, 19:00:46.107834500, 16, 110, 2
1749229261.414496500, 19:01:01.404090800, 24, 70, 4
1749229283.386783900, 19:01:23.374999600, 25, 90, 3
1749229309.391457400, 19:01:49.381391200, 5, 70, 4
1749229331.432882000, 19:02:11.422518300, 1, 110, 5
1749229348.013408200, 19:02:28.001377000, 6, 90, 5
1749229366.116780300, 19:02:46.106844100, 3, 110, 4
1749229381.785511200, 19:03:01.773222100, 8, 70, 5
1749229412.876771900, 19:03:32.865494800, 21, 90, 5
1749229435.050411900, 19:03:55.037995600, 12, 110, 2
1749229450.991634000, 19:04:10.981637400, 18, 90, 3
1749229468.588611900, 19:04:28.577595900, 17, 70, 1
1749229491.291832700, 19:04:51.279469200, 20, 90, 2
1749229516.630812900, 19:05:16.620653000, 22, 70, 3
1749229538.923938600, 19:05:38.913206000, 26, 90, 4
1749229557.042447100, 19:05:57.028837600, 10, 70, 3
1749229578.676163300, 19:06:18.659215400, 14, 110, 2
1749229595.978377800, 19:06:35.965697100, 19, 70, 3
1749229618.037354600, 19:06:58.028378600, 9, 90, 5
