Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721662419.126959500, 17:33:38.017058800, 9, 110, 3
1721662443.113883300, 17:34:02.053271500, 7, 70, 5
1721662577.088960300, 17:36:16.027034200, 11, 110, 2
1721662639.291824200, 17:37:18.258765000, 8, 70, 4
1721662680.545932400, 17:37:59.468170800, 21, 110, 3
1721662700.437241400, 17:38:19.374076400, 17, 90, 2
1721662718.222468100, 17:38:37.151381200, 1, 110, 3
1721662733.324251100, 17:38:52.248341800, 23, 90, 2
1721662750.195877700, 17:39:09.131428300, 18, 70, 4
1721662771.499879900, 17:39:30.462663400, 26, 90, 2
1721662791.550583500, 17:39:50.432442500, 14, 110, 1
1721662805.802661400, 17:40:04.770786000, 2, 70, 1
1721662827.229329300, 17:40:26.180502600, 22, 110, 2
1721662843.403013700, 17:40:42.366003200, 3, 70, 4
1721662864.461135300, 17:41:03.405711300, 20, 90, 2
1721662881.142627800, 17:41:20.099134100, 15, 110, 2
1721662895.121541700, 17:41:33.964439100, 10, 90, 3
1721662911.889345800, 17:41:50.840539900, 4, 110, 4
1721662926.562915400, 17:42:05.520056600, 25, 90, 2
1721662943.323941200, 17:42:22.296335200, 24, 70, 4
1721662964.120967800, 17:42:43.078674000, 19, 110, 1
1721662977.941531600, 17:42:56.884452900, 6, 70, 4
1721662999.702242000, 17:43:18.644280000, 12, 90, 3
1721663017.007093900, 17:43:35.930470900, 5, 70, 1
1721663038.140113800, 17:43:57.054152700, 16, 110, 5
1721663052.800051000, 17:44:11.694413900, 13, 90, 2
