Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746022101.394306600, 16:08:21.381982000, 2, 70, 2
1746022144.244752900, 16:09:04.233296700, 9, 110, 3
1746022161.617535400, 16:09:21.606979300, 7, 70, 3
1746022185.831290100, 16:09:45.820009400, 6, 90, 3
1746022207.336236000, 16:10:07.323846300, 12, 110, 3
1746022224.421177800, 16:10:24.410269200, 3, 90, 2
1746022244.552853200, 16:10:44.539578300, 25, 110, 2
1746022262.249898100, 16:11:02.238395600, 10, 90, 2
1746022279.741959000, 16:11:19.729022300, 8, 110, 3
1746022295.201744300, 16:11:35.188972200, 14, 70, 4
1746022326.909185300, 16:12:06.898064400, 15, 90, 2
1746022350.654283200, 16:12:30.641906200, 18, 110, 3
1746022367.020999200, 16:12:47.009910100, 16, 70, 2
1746022388.477587900, 16:13:08.464918900, 23, 110, 2
1746022405.099254800, 16:13:25.085591000, 26, 90, 2
1746022429.319356800, 16:13:49.309114800, 20, 70, 2
1746022451.858744400, 16:14:11.846611900, 5, 90, 1
1746022469.306293400, 16:14:29.293612700, 11, 110, 3
1746022485.141193800, 16:14:45.128012500, 4, 70, 2
1746022506.961383500, 16:15:06.951441900, 1, 110, 4
1746022530.955521400, 16:15:30.944592800, 17, 70, 2
1746022552.411353900, 16:15:52.399399900, 24, 110, 3
1746022568.191228200, 16:16:08.178234100, 13, 90, 3
1746022586.061136800, 16:16:26.049609500, 19, 110, 3
1746022602.213288800, 16:16:42.200296800, 22, 70, 3
1746022623.679852300, 16:17:03.669523800, 21, 110, 2
