Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721031039.506422300, 10:10:38.278472800, 23, 70, 2
1721031070.090016000, 10:11:08.886959800, 24, 90, 3
1721031095.756880200, 10:11:34.505876500, 17, 110, 3
1721031115.058471100, 10:11:53.816157000, 25, 70, 4
1721031153.692580600, 10:12:32.539863300, 13, 110, 1
1721031168.743915600, 10:12:47.500536700, 3, 90, 1
1721031186.061702500, 10:13:04.865210600, 21, 110, 2
1721031200.986921700, 10:13:19.768831900, 26, 90, 2
1721031218.787649000, 10:13:37.615358400, 7, 70, 1
1721031240.461576700, 10:13:59.245643300, 15, 110, 2
1721031255.264913000, 10:14:14.033719200, 20, 70, 2
1721031280.935797900, 10:14:39.737231900, 2, 110, 4
1721031301.140695800, 10:14:59.899251600, 16, 70, 1
1721031322.259519000, 10:15:21.060323800, 10, 110, 2
1721031337.140033400, 10:15:35.852535900, 8, 70, 2
1721031358.648058500, 10:15:57.458331200, 12, 110, 1
1721031374.121790500, 10:16:12.903801300, 4, 90, 1
1721031395.043436300, 10:16:33.802084400, 14, 70, 2
1721031416.752145900, 10:16:55.314748500, 18, 90, 2
1721031435.056173500, 10:17:13.881912800, 6, 110, 1
1721031452.238253300, 10:17:31.032498900, 19, 70, 2
1721031473.666466100, 10:17:52.502686600, 11, 90, 3
1721031490.732019000, 10:18:09.511030200, 5, 70, 2
1721031513.435850800, 10:18:32.245626600, 9, 90, 2
1721031530.581863300, 10:18:49.374562100, 22, 110, 3
1721031545.332105700, 10:19:04.147072100, 1, 90, 2
