Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720981655.925683500, 20:27:34.623465600, 5, 110, 2
1720981680.930266000, 20:27:59.596536600, 4, 70, 1
1720981703.119472100, 20:28:21.881224500, 23, 110, 2
1720981725.901944600, 20:28:44.725583400, 3, 70, 3
1720981762.383263200, 20:29:21.175126200, 8, 110, 2
1720981782.607547500, 20:29:41.446831800, 21, 90, 2
1720981801.570755600, 20:30:00.369277200, 11, 70, 3
1720981849.801691100, 20:30:48.637470300, 20, 110, 3
1720981868.442832000, 20:31:07.262152600, 25, 70, 2
1720981920.562377400, 20:31:59.230396600, 10, 110, 2
1720981935.856420900, 20:32:14.675454200, 18, 70, 3
1720981957.114513000, 20:32:35.918475000, 24, 90, 3
1720981983.371819200, 20:33:02.117152200, 2, 110, 3
1720982005.049709900, 20:33:23.783435300, 15, 90, 3
1720982024.012009400, 20:33:42.776921100, 13, 70, 1
1720982053.520057400, 20:34:12.267889400, 17, 90, 1
1720982071.045118400, 20:34:29.771024500, 7, 110, 1
1720982099.337330100, 20:34:58.076189100, 6, 70, 2
1720982121.211497700, 20:35:19.921013100, 1, 110, 3
1720982136.108039400, 20:35:34.866928800, 9, 70, 4
1720982163.347856400, 20:36:02.109348700, 19, 90, 3
1720982182.327947900, 20:36:21.115079700, 14, 110, 2
1720982197.187375800, 20:36:35.906063900, 22, 90, 3
1720982215.846061600, 20:36:54.594102100, 12, 70, 1
1720982236.922937400, 20:37:15.690801900, 16, 110, 5
1720982258.475239900, 20:37:37.267741400, 26, 70, 3
