NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
5,110,16,2.6405553817749023,0.2203136444091797,2
4,70,11,5.754387855529785,0.29025170803070066,1
23,110,17,3.8205113410949707,0.01622706651687622,2
3,70,16,3.9520504474639893,0.2526996612548828,3
8,110,16,3.7175722122192383,0.09376955032348633,2
21,90,16,4.522545576095581,0.1874298095703125,2
11,70,11,4.0310728549957275,0.1857475757598877,3
20,110,16,3.7253177165985107,0.12573962211608886,3
25,70,10,3.9769411087036133,0.19890605319630017,2
10,110,10,3.2687723636627197,0.17170767350630325,2
18,70,11,3.1929547786712646,0.13538177013397218,3
24,90,16,2.9274098873138428,0.17470240592956543,3
2,110,20,1.6185002326965332,0.01786351203918457,3
15,90,13,4.102993488311768,0.14841929078102112,3
13,70,11,4.832840442657471,0.29906041622161866,1
17,90,10,4.015442848205566,0.1124173944646662,1
7,110,15,2.765324831008911,0.07949392000834148,1
6,70,9,3.2085862159729004,0.3307311733563741,2
1,110,16,2.6443405151367188,0.03224334716796875,3
9,70,11,4.185655832290649,0.13539860248565674,4
19,90,13,5.097736835479736,0.12859711050987244,3
14,110,15,3.8175454139709473,0.023183107376098633,2
22,90,13,3.2618138790130615,0.17561596632003784,3
12,70,6,1.4518535137176514,0.3307068188985189,1
16,110,14,2.5258772373199463,0.15337695394243514,5
26,70,11,5.639551162719727,0.34072303771972656,3
