Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745930990.577373000, 14:49:50.571002000, 2, 70, 1
1745931012.006416000, 14:50:11.999435000, 12, 110, 1
1745931026.488116000, 14:50:26.484478000, 6, 70, 1
1745931047.717596000, 14:50:47.711407000, 1, 110, 1
1745931061.752534000, 14:51:01.746508000, 14, 90, 1
1745931078.084017000, 14:51:18.077436000, 20, 110, 1
1745931092.321963000, 14:51:32.315677000, 17, 90, 1
1745931108.702126000, 14:51:48.695567000, 25, 70, 1
1745931128.998756000, 14:52:08.992642000, 8, 90, 1
1745931145.273936000, 14:52:25.267398000, 23, 70, 1
1745931174.302075000, 14:52:54.296109000, 21, 110, 1
1745931188.956886000, 14:53:08.949980000, 18, 90, 1
1745931206.382752000, 14:53:26.376279000, 10, 110, 1
1745931219.577823000, 14:53:39.571288000, 16, 90, 1
1745931236.002846000, 14:53:55.996007000, 15, 70, 1
1745931260.615170000, 14:54:20.608698000, 9, 90, 1
1745931278.471591000, 14:54:38.464964000, 5, 110, 1
1745931294.382362000, 14:54:54.376075000, 11, 90, 1
1745931311.691803000, 14:55:11.684689000, 19, 70, 1
1745931332.613858000, 14:55:32.607684000, 3, 110, 1
1745931350.055550000, 14:55:50.049290000, 22, 70, 1
1745931371.317740000, 14:56:11.311567000, 13, 110, 1
1745931384.873429000, 14:56:24.867327000, 24, 90, 1
1745931401.148465000, 14:56:41.142185000, 26, 70, 1
1745931421.323064000, 14:57:01.316230000, 7, 110, 2
1745931434.588453000, 14:57:14.582089000, 4, 70, 1
