Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720943460.884095400, 09:50:59.564418500, 16, 90, 3
1720943500.176438300, 09:51:38.958756000, 19, 110, 3
1720943565.084828800, 09:52:43.873032900, 26, 90, 3
1720943600.346432000, 09:53:19.133058900, 10, 110, 4
1720943627.589249300, 09:53:46.406121800, 22, 90, 4
1720943675.513279800, 09:54:34.331664800, 6, 70, 0
1720943731.397061100, 09:55:30.093477300, 8, 110, 3
1720943765.924347000, 09:56:04.730333600, 4, 70, 5
1720943790.594375000, 09:56:29.389930800, 25, 110, 4
1720943818.466349700, 09:56:57.260633000, 18, 90, 3
1720943842.622823800, 09:57:21.412501400, 17, 110, 3
1720943857.585946500, 09:57:36.304559300, 2, 70, 3
1720943925.810271300, 09:58:44.570274800, 3, 90, 2
1720943946.089750000, 09:59:04.669277400, 9, 70, 5
1720943969.500476400, 09:59:28.296282800, 7, 90, 4
1720943987.938682600, 09:59:46.713230800, 1, 110, 3
1720944011.279604300, 10:00:09.994453200, 13, 70, 4
1720944036.052386300, 10:00:34.812681100, 11, 110, 4
1720944068.137469900, 10:01:06.891430300, 21, 70, 5
1720944095.291698700, 10:01:34.045908300, 5, 90, 4
1720944123.191153300, 10:02:01.809003400, 24, 110, 3
1720944145.698189300, 10:02:24.496798100, 15, 90, 5
1720944165.466316900, 10:02:44.268176200, 12, 110, 3
1720944195.067597300, 10:03:13.861023800, 20, 70, 4
1720944216.242840700, 10:03:34.961771000, 23, 90, 4
1720944233.585912000, 10:03:52.378069500, 14, 110, 4
