NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
16,90,2,2.0087497234344482,0.16510970968949168,3
19,110,12,5.2344207763671875,0.15615065892537436,3
26,90,4,3.345811367034912,0.16608246634988225,3
10,110,8,3.2358036041259766,0.13228205534128043,4
22,90,6,3.7437222003936768,0.1784830093383789,4
6,70,2,4.541864633560181,0.21122372777838455,0
8,110,10,3.2421905994415283,0.016115947203202682,3
4,70,4,4.379359483718872,0.2072913786944221,5
25,110,14,5.454892158508301,0.015388250350952148,4
18,90,9,3.889094591140747,0.14712977409362793,3
17,110,10,3.297454357147217,0.036133072592995384,3
2,70,-1,4.098221063613892,0.2322241501374678,3
3,90,10,3.877185821533203,0.12970627437938342,2
9,70,11,7.174194812774658,0.2263016700744629,5
7,90,9,3.8804142475128174,0.11533161004384358,4
1,110,14,5.530654191970825,0.06884288787841797,3
13,70,3,4.618055582046509,0.21374212370978463,4
11,110,9,3.305365562438965,0.04285744825998942,4
21,70,3,4.468148708343506,0.21358418464660645,5
5,90,9,4.4788432121276855,0.20600726207097372,4
24,110,14,5.483291149139404,0.019183567592075894,3
15,90,9,3.793351888656616,0.23829209804534912,5
12,110,9,3.2461605072021484,0.039238174756368004,3
20,70,2,4.396898508071899,0.20404468084636487,4
23,90,9,3.807847261428833,0.256630818049113,4
14,110,9,2.888228416442871,0.06304361422856648,4
