Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745936049.047187000, 16:14:09.041387000, 14, 90, 1
1745936065.798011000, 16:14:25.791804000, 11, 110, 1
1745936079.824719000, 16:14:39.818648000, 16, 90, 1
1745936096.020057000, 16:14:56.013251000, 1, 110, 3
1745936109.295708000, 16:15:09.289335000, 19, 90, 1
1745936126.511428000, 16:15:26.505138000, 4, 70, 1
1745936147.063845000, 16:15:47.057581000, 13, 90, 1
1745936164.358163000, 16:16:04.351389000, 18, 70, 1
1745936184.704291000, 16:16:24.697751000, 22, 90, 1
1745936200.358986000, 16:16:40.352203000, 26, 110, 2
1745936218.045003000, 16:16:58.039004000, 9, 70, 1
1745936239.289838000, 16:17:19.282860000, 7, 90, 1
1745936256.070761000, 16:17:36.064483000, 12, 70, 1
1745936277.151165000, 16:17:57.144741000, 2, 90, 3
1745936292.903148000, 16:18:12.897371000, 5, 70, 1
1745936316.524999000, 16:18:36.518898000, 20, 110, 1
1745936329.161958000, 16:18:49.155600000, 21, 90, 1
1745936346.175958000, 16:19:06.169674000, 24, 110, 1
1745936359.417601000, 16:19:19.411544000, 17, 90, 1
1745936376.907515000, 16:19:36.900852000, 23, 110, 1
1745936394.698097000, 16:19:54.691893000, 3, 70, 1
1745936415.719911000, 16:20:15.712872000, 6, 90, 1
1745936431.894270000, 16:20:31.890825000, 10, 110, 1
1745936446.540740000, 16:20:46.534823000, 15, 90, 1
1745936462.957651000, 16:21:02.951121000, 25, 70, 1
1745936483.959939000, 16:21:23.953656000, 8, 90, 3
