Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749229360.190741000, 19:02:40.184954000, 2, 90, 2
1749229377.893469000, 19:02:57.887166000, 4, 110, 4
1749229391.168508000, 19:03:11.162282000, 3, 70, 3
1749229412.293666000, 19:03:32.287535000, 15, 90, 2
1749229428.476749000, 19:03:48.469690000, 16, 70, 2
1749229448.650821000, 19:04:08.644885000, 1, 90, 2
1749229464.744062000, 19:04:24.738177000, 26, 70, 4
1749229484.851979000, 19:04:44.845924000, 19, 90, 4
1749229500.981572000, 19:05:00.975705000, 5, 70, 3
1749229521.159712000, 19:05:21.153700000, 8, 110, 5
1749229543.210265000, 19:05:43.204055000, 25, 90, 2
1749229559.303821000, 19:05:59.297164000, 24, 110, 3
1749229572.454281000, 19:06:12.448266000, 9, 70, 1
1749229592.573603000, 19:06:32.567203000, 20, 90, 2
1749229608.634537000, 19:06:48.630055000, 17, 70, 3
1749229635.367122000, 19:07:15.361321000, 18, 110, 4
1749229648.528454000, 19:07:28.522024000, 11, 70, 4
1749229668.692488000, 19:07:48.686416000, 12, 110, 5
1749229681.901042000, 19:08:01.895028000, 6, 90, 5
1749229697.988613000, 19:08:17.982573000, 14, 70, 3
1749229725.687492000, 19:08:45.681094000, 10, 110, 3
1749229739.146131000, 19:08:59.140161000, 7, 70, 3
1749229759.213516000, 19:09:19.206987000, 23, 90, 4
1749229775.375042000, 19:09:35.368712000, 22, 110, 4
1749229788.567321000, 19:09:48.560784000, 21, 70, 3
1749229808.654112000, 19:10:08.648085000, 13, 90, 4
