NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
21,70,18,7.255937099456787,0.3501257101694743,3
2,90,15,3.9792232513427734,0.08897614479064941,1
22,110,19,3.662189483642578,0.12455034255981445,3
17,70,17,7.27522611618042,0.4174354672431946,1
23,110,13,5.08506965637207,0.2068580687046051,2
19,90,10,5.3435378074646,0.05208277702331543,2
11,70,18,6.649133920669556,0.14452314376831055,2
6,110,9,4.964144468307495,0.14740904172261557,3
12,90,10,4.550492286682129,0.07897136428139427,1
1,70,14,4.865278244018555,0.23612162045070104,2
16,90,8,3.3721208572387695,0.03640844271733211,1
4,110,13,4.982033014297485,0.05708587169647217,1
7,90,5,6.382153511047363,0.16914375126361847,1
20,110,15,6.028697967529297,0.046438137690226235,2
9,70,9,4.016107559204102,0.2604101896286011,1
3,110,13,5.0345234870910645,0.1263713538646698,2
24,90,15,6.63196873664856,0.04330432415008545,3
10,70,6,4.548702001571655,0.23549893697102864,4
15,110,15,4.979720115661621,0.08152433236440022,2
5,90,9,3.878596305847168,0.10111993551254272,2
26,110,12,4.174375295639038,0.10379049513075086,3
13,90,10,3.9641308784484863,0.025493946942416103,1
18,70,17,7.4899492263793945,0.2554437518119812,4
8,90,15,3.623201608657837,0.13308091958363852,3
25,70,17,7.521796464920044,0.21257436275482178,2
14,110,9,2.7921478748321533,0.06246405839920044,1
