Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748884937.018621000, 19:22:17.012774000, 18, 90, 2
1748884953.157625000, 19:22:33.151581000, 7, 70, 3
1748884975.398724000, 19:22:55.394074000, 12, 90, 2
1748884994.954299000, 19:23:14.947993000, 21, 70, 5
1748885015.530953000, 19:23:35.525163000, 25, 110, 5
1748885042.025588000, 19:24:02.021543000, 15, 70, 4
1748885062.202995000, 19:24:22.197194000, 11, 110, 4
1748885076.116761000, 19:24:36.110679000, 6, 90, 4
1748885093.890113000, 19:24:53.884132000, 16, 110, 3
1748885127.287821000, 19:25:27.281796000, 1, 70, 2
1748885154.614152000, 19:25:54.607737000, 20, 90, 4
1748885174.844652000, 19:26:14.838623000, 26, 110, 5
1748885188.253811000, 19:26:28.247848000, 3, 90, 3
1748885204.424959000, 19:26:44.418313000, 23, 110, 4
1748885217.921512000, 19:26:57.915513000, 8, 90, 3
1748885247.765479000, 19:27:27.759430000, 24, 70, 5
1748885267.929178000, 19:27:47.923302000, 13, 110, 4
1748885281.481142000, 19:28:01.474898000, 2, 70, 3
1748885301.543096000, 19:28:21.537326000, 10, 90, 4
1748885318.902330000, 19:28:38.896655000, 17, 70, 3
1748885346.627173000, 19:29:06.621143000, 9, 110, 4
1748885361.767481000, 19:29:21.761382000, 22, 90, 4
1748885378.647696000, 19:29:38.641838000, 19, 110, 4
1748885392.264692000, 19:29:52.258347000, 14, 90, 3
1748885408.364169000, 19:30:08.358251000, 5, 110, 4
1748885421.506561000, 19:30:21.500331000, 4, 90, 3
