Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749042947.462150000, 15:15:47.456193000, 20, 70, 2
1749042978.112468000, 15:16:18.105467000, 26, 90, 5
1749042995.025780000, 15:16:35.019789000, 18, 70, 3
1749043029.860651000, 15:17:09.854541000, 14, 110, 1
1749043043.583254000, 15:17:23.576684000, 11, 90, 1
1749043059.775632000, 15:17:39.769604000, 19, 110, 1
1749043074.250249000, 15:17:54.243707000, 15, 70, 1
1749043096.713991000, 15:18:16.707487000, 3, 90, 1
1749043115.164628000, 15:18:35.158208000, 24, 110, 5
1749043130.593738000, 15:18:50.587567000, 17, 90, 1
1749043154.121077000, 15:19:14.115051000, 9, 70, 2
1749043174.195973000, 15:19:34.189698000, 6, 90, 2
1749043205.957724000, 15:20:05.951240000, 22, 110, 1
1749043219.079696000, 15:20:19.073689000, 21, 90, 1
1749043235.166912000, 15:20:35.161143000, 7, 110, 1
1749043263.629958000, 15:21:03.623601000, 4, 90, 1
1749043279.664295000, 15:21:19.658133000, 8, 70, 1
1749043301.173983000, 15:21:41.167681000, 5, 110, 1
1749043315.709816000, 15:21:55.703483000, 12, 70, 1
1749043336.097265000, 15:22:16.090958000, 2, 110, 1
1749043362.748820000, 15:22:42.742502000, 23, 90, 2
1749043378.729530000, 15:22:58.723326000, 16, 110, 1
1749043392.957250000, 15:23:12.950940000, 25, 70, 1
1749043427.193962000, 15:23:47.190970000, 13, 90, 1
1749043443.381980000, 15:24:03.375892000, 10, 70, 1
1749043463.936211000, 15:24:23.930374000, 1, 90, 1
