Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721046762.780463300, 14:32:41.565137200, 1, 90, 1
1721046790.870821700, 14:33:09.631392500, 4, 70, 1
1721046815.711783900, 14:33:34.502260200, 7, 90, 1
1721046835.529450600, 14:33:54.345065200, 20, 70, 1
1721046856.569436000, 14:34:15.370599400, 16, 90, 2
1721046878.395137600, 14:34:36.363524600, 17, 70, 1
1721046900.200687400, 14:34:58.978177800, 12, 90, 1
1721046917.525046600, 14:35:16.261333400, 21, 70, 1
1721046939.097707000, 14:35:37.906122800, 9, 90, 1
1721046965.723697300, 14:36:04.488429300, 11, 70, 1
1721046986.994451300, 14:36:25.790951600, 3, 110, 1
1721047001.893270900, 14:36:40.699106700, 26, 90, 2
1721047022.519641600, 14:37:01.312659800, 23, 110, 1
1721047037.568636700, 14:37:16.361879700, 13, 70, 1
1721047058.642198500, 14:37:37.448977600, 14, 110, 2
1721047077.145262100, 14:37:55.881306300, 2, 70, 2
1721047108.369552500, 14:38:27.120856800, 19, 110, 1
1721047123.737293000, 14:38:42.530374100, 15, 70, 3
1721047169.874509300, 14:39:28.617483200, 10, 90, 1
1721047189.593117300, 14:39:48.381511000, 6, 70, 1
1721047211.745614300, 14:40:10.574491700, 8, 90, 2
1721047240.412845600, 14:40:39.239346100, 18, 70, 1
1721047261.563843200, 14:41:00.392453900, 25, 90, 1
1721047279.733659500, 14:41:18.506408000, 5, 70, 2
1721047304.973634800, 14:41:43.600508000, 22, 110, 2
1721047322.021597900, 14:41:59.413175700, 24, 90, 1
