NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
1,90,9,2.664440631866455,0.06316866477330525,1
4,70,-2,4.43019962310791,0.21347794325455374,1
7,90,12,4.647642374038696,0.044497516420152455,1
20,70,-2,4.419833183288574,0.2009088371110999,1
16,90,12,3.2148962020874023,0.22166604465908474,2
17,70,0,3.5402300357818604,0.20276868911016555,1
12,90,9,2.036374807357788,0.044304072856903076,1
21,70,-1,2.7841334342956543,0.2156290357763117,1
9,90,11,3.298182725906372,0.04645857810974121,1
11,70,-5,3.1717545986175537,0.21080772693340594,1
3,110,10,2.8607895374298096,0.07602086934176358,1
26,90,14,4.056309938430786,0.04465147427150181,2
23,110,14,3.3315446376800537,0.09057450294494629,1
13,70,7,4.0993874073028564,0.2333963087626866,1
14,110,10,0.9199185371398926,0.08783767440102318,2
2,70,19,4.103415012359619,0.21396517753601074,2
19,110,13,2.826895236968994,0.03277015686035156,1
15,70,-2,3.9590542316436768,0.2179506965305494,3
10,90,11,3.2331409454345703,0.11267096996307373,1
6,70,3,4.465278148651123,0.23106061087714302,1
8,90,15,3.2844114303588867,0.03816541035970052,2
18,70,6,4.0490241050720215,0.23056917190551757,1
25,90,12,3.10037899017334,0.18222249878777397,1
5,70,-2,3.626486301422119,0.21053533968718155,2
22,110,14,2.8609583377838135,0.0688823972429548,2
24,90,9,3.35071063041687,0.13888335227966309,1
