Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1744927686.N, 00:08:06.N, 18, 90, 1
1744927702.N, 00:08:22.N, 4, 110, 2
1744927716.N, 00:08:36.N, 2, 90, 4
1744927733.N, 00:08:53.N, 6, 110, 2
1744927746.N, 00:09:06.N, 3, 70, 1
1744927767.N, 00:09:27.N, 24, 90, 1
1744927784.N, 00:09:44.N, 11, 110, 2
1744927799.N, 00:09:59.N, 5, 90, 1
1744927815.N, 00:10:15.N, 23, 110, 1
1744927830.N, 00:10:30.N, 10, 70, 1
1744927853.N, 00:10:53.N, 26, 90, 1
1744927871.N, 00:11:11.N, 9, 110, 1
1744927886.N, 00:11:26.N, 17, 90, 2
1744927903.N, 00:11:43.N, 8, 110, 3
1744927917.N, 00:11:57.N, 1, 70, 2
1744927943.N, 00:12:23.N, 20, 90, 1
1744927961.N, 00:12:41.N, 14, 70, 1
1744927982.N, 00:13:02.N, 12, 90, 1
1744928000.N, 00:13:20.N, 13, 70, 1
1744928021.N, 00:13:41.N, 7, 90, 1
1744928039.N, 00:13:59.N, 25, 110, 2
1744928055.N, 00:14:15.N, 19, 90, 1
1744928072.N, 00:14:32.N, 21, 110, 1
1744928086.N, 00:14:46.N, 22, 70, 1
1744928107.N, 00:15:07.N, 15, 90, 1
1744928125.N, 00:15:25.N, 16, 70, 1
