Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1734425048.244300600, 09:44:07.029521500, 23, 110, 2
1734425066.381389400, 09:44:25.260788300, 26, 70, 3
1734425090.865361200, 09:44:49.725528500, 22, 110, 3
1734425108.317769900, 09:45:07.198448700, 25, 90, 2
1734425127.783420500, 09:45:26.628870700, 2, 110, 1
1734425143.528828900, 09:45:42.351205200, 12, 90, 2
1734425162.844800000, 09:46:01.733398900, 17, 110, 3
1734425177.515023800, 09:46:16.399341700, 5, 90, 2
1734425199.898715600, 09:46:38.751067900, 11, 110, 2
1734425239.155579200, 09:47:18.015002700, 20, 90, 2
1734425258.925650400, 09:47:37.807075100, 4, 70, 3
1734425282.656207900, 09:48:01.547473000, 15, 90, 2
1734425301.184450200, 09:48:20.078905300, 18, 70, 3
1734425323.477942900, 09:48:42.346473100, 13, 110, 1
1734425338.754988800, 09:48:57.672407000, 16, 70, 2
1734425361.197801800, 09:49:20.089777000, 6, 110, 1
1734425378.570802100, 09:49:37.412759700, 10, 90, 1
1734425396.343321800, 09:49:55.212883100, 7, 110, 1
1734425412.134852300, 09:50:10.988703800, 3, 90, 3
1734425430.348331400, 09:50:29.156308300, 19, 70, 3
1734425452.589037900, 09:50:51.554638800, 14, 110, 1
1734425467.189942700, 09:51:06.078359200, 1, 70, 1
1734425491.636127000, 09:51:30.458559600, 9, 90, 1
1734425512.170116000, 09:51:51.015890800, 24, 70, 1
1734425533.602630100, 09:52:12.490772900, 21, 110, 3
1734425548.029381900, 09:52:26.926827900, 8, 90, 3
