Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746020493.166158000, 15:41:33.156556000, 5, 90, 3
1746020518.426258700, 15:41:58.415078100, 18, 90, 5
1746020539.749180300, 15:42:19.735901500, 24, 90, 5
1746020558.938733300, 15:42:38.926595200, 12, 90, 4
1746020579.262301000, 15:42:59.238411400, 11, 90, 4
1746020600.346393600, 15:43:20.335570100, 15, 90, 5
1746020619.208798700, 15:43:39.198795600, 13, 90, 2
1746020638.982241100, 15:43:58.971596200, 21, 90, 4
1746020659.147073600, 15:44:19.137317600, 22, 90, 4
1746020678.641639500, 15:44:38.632268900, 14, 90, 2
1746020712.969417300, 15:45:12.959577700, 1, 90, 2
1746020732.323326100, 15:45:32.309775000, 19, 90, 3
1746020750.889363000, 15:45:50.878059300, 26, 90, 3
1746020769.408232900, 15:46:09.396548400, 20, 90, 3
1746020788.194258400, 15:46:28.182998200, 7, 90, 3
1746020817.606149000, 15:46:57.596836200, 2, 90, 4
1746020836.453234000, 15:47:16.442624200, 16, 90, 2
1746020854.526507200, 15:47:34.513959200, 23, 90, 4
1746020873.402339500, 15:47:53.393416200, 10, 90, 2
1746020893.609652300, 15:48:13.598952500, 8, 90, 2
1746020919.957177100, 15:48:39.946509900, 25, 90, 4
1746020938.954604200, 15:48:58.943414300, 9, 90, 4
1746020956.919910800, 15:49:16.908701400, 3, 90, 5
1746020975.384285600, 15:49:35.373889200, 17, 90, 2
1746020993.253830300, 15:49:53.242580700, 6, 90, 2
1746021011.433866000, 15:50:11.422911800, 4, 90, 2
