Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748886025.539701000, 19:40:25.533842000, 3, 90, 5
1748886056.082221000, 19:40:56.075988000, 8, 90, 4
1748886073.692838000, 19:41:13.686719000, 13, 90, 3
1748886092.328947000, 19:41:32.322815000, 10, 90, 3
1748886109.545726000, 19:41:49.539187000, 22, 90, 5
1748886132.444807000, 19:42:12.438572000, 7, 90, 5
1748886150.028954000, 19:42:30.022857000, 14, 90, 3
1748886167.648071000, 19:42:47.642290000, 17, 90, 2
1748886184.822764000, 19:43:04.816601000, 25, 90, 2
1748886201.436534000, 19:43:21.430480000, 6, 90, 2
1748886245.309086000, 19:44:05.302773000, 9, 90, 3
1748886262.661340000, 19:44:22.655017000, 23, 90, 4
1748886279.045537000, 19:44:39.038811000, 15, 90, 5
1748886295.593853000, 19:44:55.587760000, 21, 90, 4
1748886312.331499000, 19:45:12.324530000, 12, 90, 3
1748886335.845455000, 19:45:35.839251000, 26, 90, 3
1748886352.930421000, 19:45:52.924026000, 5, 90, 5
1748886369.362473000, 19:46:09.356420000, 11, 90, 5
1748886389.837074000, 19:46:29.830924000, 2, 90, 2
1748886407.205925000, 19:46:47.199339000, 4, 90, 3
1748886431.458205000, 19:47:11.452037000, 20, 90, 4
1748886448.245468000, 19:47:28.242479000, 24, 90, 5
1748886464.441169000, 19:47:44.435335000, 1, 90, 1
1748886480.789054000, 19:48:00.783363000, 18, 90, 2
1748886497.029719000, 19:48:17.023595000, 19, 90, 3
1748886513.299501000, 19:48:33.292670000, 16, 90, 3
