Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721044180.943253800, 13:49:39.832212100, 25, 90, 4
1721044219.525844100, 13:50:18.260675000, 10, 90, 5
1721044253.069666100, 13:50:51.866089200, 8, 90, 4
1721044287.330273800, 13:51:26.070016400, 15, 90, 5
1721044320.672239500, 13:51:59.473706600, 22, 90, 4
1721044358.708778700, 13:52:37.427857100, 12, 90, 4
1721044396.127367500, 13:53:14.950597300, 7, 90, 5
1721044429.378132600, 13:53:48.139664700, 13, 90, 3
1721044465.424219600, 13:54:24.243649800, 26, 90, 5
1721044498.651875500, 13:54:57.458561700, 11, 90, 4
1721044534.107028900, 13:55:32.906089000, 20, 90, 5
1721044566.973837200, 13:56:05.816736100, 17, 90, 5
1721044599.777523900, 13:56:38.564661800, 24, 90, 5
1721044635.201533900, 13:57:14.005065100, 1, 90, 2
1721044668.069144000, 13:57:46.827958600, 21, 90, 3
1721044705.144137000, 13:58:23.799970800, 3, 90, 5
1721044743.262024500, 13:59:02.008772800, 18, 90, 3
1721044837.901615700, 14:00:36.705114800, 4, 90, 3
1721044875.447317600, 14:01:14.249357600, 19, 90, 5
1721044914.074863000, 14:01:52.894606400, 6, 90, 5
1721044948.351969100, 14:02:27.139764300, 5, 90, 5
1721044982.329680000, 14:03:01.089728300, 23, 90, 4
1721045018.439747600, 14:03:37.181831400, 2, 90, 3
1721045052.039123500, 14:04:10.851400100, 16, 90, 3
1721045085.417807000, 14:04:44.017370300, 14, 90, 3
1721045119.950418300, 14:05:18.186451400, 9, 90, 4
