NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
25,90,32,4.406922817230225,0.10799653313376686,4
10,90,34,4.3693156242370605,0.08198583788341945,5
8,90,22,4.293089389801025,0.08454398259724656,4
15,90,25,4.5860631465911865,0.09702644582654608,5
22,90,32,3.8717191219329834,0.10331967047282628,4
12,90,32,4.309125661849976,0.09822637384588068,4
7,90,34,4.118185520172119,0.07963859810019439,5
13,90,24,4.182483673095703,0.0893848919477619,3
26,90,28,7.523045301437378,0.09388739184329384,5
11,90,28,4.136744737625122,0.10623358885447184,4
20,90,36,4.541158676147461,0.11030644178390503,5
17,90,20,3.686373233795166,0.09803900935433128,5
24,90,21,3.591801166534424,0.11043096370384341,5
1,90,3,3.8749842643737793,0.15396372662034147,2
21,90,18,3.953458547592163,0.10191814338459688,3
3,90,36,4.295176029205322,0.07149309186793085,5
18,90,19,4.620908498764038,0.09415695560512258,3
4,90,38,6.50710391998291,0.08433230448577364,3
19,90,32,6.7971391677856445,0.09622668778454815,5
6,90,44,6.589865446090698,0.06178996039599907,5
5,90,34,7.212203502655029,0.09434405362830972,5
23,90,37,6.9168243408203125,0.09755584716796875,4
2,90,9,4.921125888824463,0.14407600583256902,3
16,90,31,3.922304630279541,0.09141403750369423,3
14,90,18,4.317382097244263,0.10343688637463015,3
9,90,25,3.605254888534546,0.09476636161266917,4
