Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720707518.361496200, 16:18:37.158715400, 15, 90, 5
1720707572.691052000, 16:19:31.573867200, 3, 90, 5
1720707624.931990400, 16:20:23.834695400, 2, 90, 5
1720707660.882409800, 16:20:59.740744400, 26, 90, 5
1720707694.610988900, 16:21:33.451333000, 9, 90, 5
1720707772.644616800, 16:22:51.522645700, 25, 90, 3
1720707811.280805000, 16:23:30.091647600, 17, 90, 3
1720707844.276610000, 16:24:03.173381300, 22, 90, 5
1720707880.332704500, 16:24:39.223610800, 21, 90, 5
1720707913.896886300, 16:25:12.816924300, 1, 90, 4
1720707948.867505700, 16:25:47.741048500, 8, 90, 5
1720707985.275119400, 16:26:24.154546200, 5, 90, 5
1720708019.453925200, 16:26:58.348118100, 19, 90, 4
1720708065.505070300, 16:27:44.401358300, 10, 90, 4
1720708112.776513300, 16:28:31.552656200, 14, 90, 2
1720708146.339973500, 16:29:05.179856300, 11, 90, 4
1720708181.756978800, 16:29:40.584882200, 23, 90, 4
1720708214.940506800, 16:30:13.786500200, 12, 90, 4
1720708248.501980700, 16:30:47.320471000, 18, 90, 0
1720708322.069694600, 16:32:00.824417300, 4, 90, 4
1720708357.663940300, 16:32:36.419735200, 20, 90, 4
1720708390.832653600, 16:33:09.625788500, 7, 90, 4
1720708425.385575700, 16:33:44.228466600, 6, 90, 4
1720708459.021172900, 16:34:17.854188800, 16, 90, 3
1720708491.535692200, 16:34:50.330734500, 24, 90, 5
1720708524.075154700, 16:35:22.835174600, 13, 90, 4
