Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721814692.205099700, 11:51:31.835215000, 1, 90, 3
1721814733.882376200, 11:52:12.825800700, 19, 90, 5
1721814770.417499700, 11:52:49.202118200, 26, 90, 5
1721814804.738729400, 11:53:23.518880400, 13, 90, 4
1721814867.638447700, 11:54:26.505595800, 9, 90, 4
1721814901.388994300, 11:55:00.236295000, 18, 90, 5
1721814934.606542300, 11:55:33.466526900, 3, 90, 5
1721814978.752117900, 11:56:17.618335500, 10, 90, 3
1721815013.380502600, 11:56:52.254061300, 23, 90, 5
1721815046.353400700, 11:57:25.220408500, 11, 90, 5
1721815079.610248800, 11:57:58.468667900, 15, 90, 3
1721815113.359061400, 11:58:32.260991000, 5, 90, 5
1721815146.461251700, 11:59:05.306937000, 20, 90, 3
1721815179.600271100, 11:59:38.456193100, 16, 90, 4
1721815213.989334700, 12:00:12.834219600, 2, 90, 1
1721815246.915038200, 12:00:45.809504200, 4, 90, 2
1721815284.867126800, 12:01:23.710961100, 7, 90, 1
1721815318.809307200, 12:01:57.694885400, 17, 90, 2
1721815351.718129900, 12:02:30.525000700, 24, 90, 2
1721815388.094946700, 12:03:06.923647300, 12, 90, 1
1721815422.218472200, 12:03:41.044331800, 25, 90, 3
1721815458.838094700, 12:04:17.668926000, 21, 90, 4
1721815491.899342200, 12:04:50.781854400, 22, 90, 4
1721815536.745707100, 12:05:35.640355000, 8, 90, 2
1721815570.597915400, 12:06:09.435402800, 14, 90, 2
1721815603.432113900, 12:06:42.322219800, 6, 90, 4
