Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749044640.366408000, 15:44:00.360442000, 5, 90, 2
1749044659.215095000, 15:44:19.208952000, 8, 90, 3
1749044676.153889000, 15:44:36.148007000, 25, 90, 2
1749044694.873194000, 15:44:54.866927000, 22, 90, 4
1749044713.120886000, 15:45:13.113904000, 17, 90, 4
1749044732.758573000, 15:45:32.752620000, 13, 90, 2
1749044749.583705000, 15:45:49.577702000, 1, 90, 3
1749044768.271710000, 15:46:08.265423000, 9, 90, 4
1749044786.464343000, 15:46:26.458430000, 11, 90, 3
1749044803.167613000, 15:46:43.161684000, 15, 90, 3
1749044833.016402000, 15:47:13.009656000, 21, 90, 2
1749044850.275762000, 15:47:30.269144000, 20, 90, 4
1749044866.850223000, 15:47:46.844028000, 26, 90, 2
1749044885.511029000, 15:48:05.505161000, 7, 90, 2
1749044902.119782000, 15:48:22.113839000, 10, 90, 3
1749044929.847103000, 15:48:49.840615000, 6, 90, 2
1749044946.474181000, 15:49:06.468155000, 2, 90, 4
1749044963.043805000, 15:49:23.037848000, 3, 90, 3
1749044979.337013000, 15:49:39.330995000, 19, 90, 4
1749044995.970404000, 15:49:55.964306000, 24, 90, 2
1749045021.201265000, 15:50:21.195226000, 16, 90, 3
1749045038.614052000, 15:50:38.607831000, 18, 90, 3
1749045055.402357000, 15:50:55.396191000, 4, 90, 2
1749045072.409048000, 15:51:12.402851000, 12, 90, 2
1749045089.458097000, 15:51:29.451406000, 23, 90, 3
1749045106.621421000, 15:51:46.615453000, 14, 90, 2
