Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748437908.687400000, 15:11:48.681452000, 21, 90, 4
1748437927.405612000, 15:12:07.399714000, 16, 90, 2
1748437952.993723000, 15:12:32.987991000, 15, 90, 2
1748437976.267079000, 15:12:56.260877000, 3, 90, 1
1748437995.131138000, 15:13:15.125099000, 7, 90, 4
1748438011.584616000, 15:13:31.577142000, 13, 90, 2
1748438028.569479000, 15:13:48.563497000, 11, 90, 3
1748438045.611111000, 15:14:05.605015000, 14, 90, 1
1748438062.136303000, 15:14:22.130372000, 19, 90, 1
1748438079.176331000, 15:14:39.170518000, 9, 90, 2
1748438101.405632000, 15:15:01.399958000, 26, 90, 1
1748438118.163164000, 15:15:18.157387000, 18, 90, 2
1748438135.132502000, 15:15:35.126582000, 25, 90, 3
1748438151.603024000, 15:15:51.596801000, 10, 90, 2
1748438168.442140000, 15:16:08.436376000, 22, 90, 3
1748438192.018769000, 15:16:32.012608000, 20, 90, 3
1748438212.129499000, 15:16:52.123609000, 1, 90, 1
1748438229.125237000, 15:17:09.119748000, 17, 90, 2
1748438251.328706000, 15:17:31.322762000, 23, 90, 3
1748438268.318961000, 15:17:48.313070000, 12, 90, 2
1748438291.084309000, 15:18:11.078393000, 2, 90, 1
1748438307.753363000, 15:18:27.750411000, 4, 90, 2
1748438324.772117000, 15:18:44.766153000, 8, 90, 2
1748438341.806254000, 15:19:01.799828000, 24, 90, 2
1748438358.622433000, 15:19:18.616699000, 5, 90, 2
1748438396.479706000, 15:19:56.476946000, 6, 90, 1
