Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748435728.866140000, 14:35:28.860380000, 22, 90, 4
1748435748.518674000, 14:35:48.512674000, 25, 90, 4
1748435770.374394000, 14:36:10.368409000, 21, 90, 4
1748435789.363785000, 14:36:29.357718000, 17, 90, 3
1748435806.690627000, 14:36:46.684477000, 7, 90, 3
1748435824.234272000, 14:37:04.228111000, 10, 90, 2
1748435842.327473000, 14:37:22.321427000, 14, 90, 2
1748435860.019043000, 14:37:40.013131000, 8, 90, 4
1748435883.424648000, 14:38:03.418355000, 3, 90, 4
1748435900.661224000, 14:38:20.655436000, 11, 90, 3
1748435927.533209000, 14:38:47.527453000, 6, 90, 2
1748435944.747039000, 14:39:04.740984000, 1, 90, 3
1748435961.682799000, 14:39:21.676769000, 26, 90, 3
1748435978.890251000, 14:39:38.884303000, 20, 90, 2
1748435995.617009000, 14:39:55.611093000, 4, 90, 3
1748436023.491953000, 14:40:23.485979000, 18, 90, 2
1748436044.785029000, 14:40:44.778771000, 19, 90, 3
1748436061.244742000, 14:41:01.238965000, 2, 90, 1
1748436077.671914000, 14:41:17.665816000, 16, 90, 3
1748436094.324008000, 14:41:34.318022000, 15, 90, 4
1748436117.782271000, 14:41:57.776401000, 5, 90, 3
1748436135.130764000, 14:42:15.124793000, 24, 90, 3
1748436163.941587000, 14:42:43.935411000, 23, 90, 4
1748436180.914023000, 14:43:00.908410000, 12, 90, 3
1748436198.187004000, 14:43:18.180642000, 13, 90, 3
1748436215.169325000, 14:43:35.163273000, 9, 90, 4
