Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746018744.803327200, 15:12:24.791874700, 23, 90, 3
1746018770.792690600, 15:12:50.780274400, 4, 90, 3
1746018792.097359300, 15:13:12.084593300, 7, 90, 4
1746018813.904626600, 15:13:33.893341200, 24, 90, 4
1746018836.152591500, 15:13:56.140610200, 5, 90, 3
1746018855.774838100, 15:14:15.764026500, 3, 90, 3
1746018875.015974500, 15:14:35.002871500, 19, 90, 4
1746018894.899990000, 15:14:54.888448900, 21, 90, 5
1746018917.393040700, 15:15:17.380462500, 20, 90, 3
1746018935.758147900, 15:15:35.746081800, 15, 90, 4
1746018967.746248200, 15:16:07.734140000, 11, 90, 4
1746018986.647289200, 15:16:26.627073100, 6, 90, 4
1746019005.305758800, 15:16:45.292535700, 2, 90, 4
1746019026.365993700, 15:17:06.352534800, 18, 90, 3
1746019045.579081500, 15:17:25.568668300, 10, 90, 4
1746019077.148613000, 15:17:57.136540100, 14, 90, 4
1746019096.371709300, 15:18:16.361085200, 17, 90, 4
1746019118.061992200, 15:18:38.048706900, 25, 90, 4
1746019136.675997300, 15:18:56.665719400, 22, 90, 5
1746019158.840586700, 15:19:18.829919400, 1, 90, 4
1746019190.580878100, 15:19:50.570846900, 8, 90, 4
1746019211.841048000, 15:20:11.831400500, 9, 90, 4
1746019231.396626900, 15:20:31.387357900, 26, 90, 4
1746019251.184347700, 15:20:51.172216900, 16, 90, 4
1746019271.624074400, 15:21:11.610970300, 12, 90, 4
1746019292.424901700, 15:21:32.413508600, 13, 90, 4
