Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721292594.350218700, 10:49:53.649990700, 5, 90, 3
1721292632.180388500, 10:50:31.208826100, 6, 90, 3
1721292666.932275800, 10:51:05.998596500, 19, 90, 3
1721292700.660706100, 10:51:39.708644600, 21, 90, 4
1721292742.023984200, 10:52:21.074739400, 13, 90, 3
1721292776.267173200, 10:52:55.321687600, 3, 90, 5
1721292827.218803800, 10:53:46.268368000, 14, 90, 3
1721292859.603648400, 10:54:18.647853500, 8, 90, 4
1721292895.160671900, 10:54:54.220901400, 1, 90, 4
1721292931.544615600, 10:55:30.605418600, 15, 90, 4
1721292965.757567400, 10:56:04.815282900, 17, 90, 0
1721293013.967466700, 10:56:53.007681200, 7, 90, 4
1721293054.456918200, 10:57:33.444142800, 4, 90, 4
1721293089.630946900, 10:58:08.642327600, 22, 90, 4
1721293127.639140800, 10:58:46.662001000, 23, 90, 3
1721293166.307656000, 10:59:25.308185300, 12, 90, 4
1721293205.212644900, 11:00:04.237120100, 11, 90, 3
1721293264.599287000, 11:01:03.603801800, 10, 90, 3
1721293298.220916700, 11:01:37.233994200, 18, 90, 3
1721293338.099216500, 11:02:17.122951000, 24, 90, 3
1721293372.254107400, 11:02:51.285623500, 16, 90, 4
1721293411.725205300, 11:03:30.751848900, 2, 90, 3
1721293445.300369100, 11:04:04.314666500, 20, 90, 4
1721293478.752370900, 11:04:37.767527800, 26, 90, 4
1721293531.469004900, 11:05:30.484471400, 9, 90, 4
1721293565.146006000, 11:06:04.139099100, 25, 90, 3
