Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749227909.710297000, 18:38:29.704206000, 23, 90, 3
1749227943.441015000, 18:39:03.434637000, 18, 90, 3
1749227960.254497000, 18:39:20.248679000, 24, 90, 4
1749227977.138411000, 18:39:37.132633000, 10, 90, 2
1749227994.224856000, 18:39:54.218739000, 21, 90, 3
1749228010.908399000, 18:40:10.903130000, 17, 90, 2
1749228027.678857000, 18:40:27.672988000, 7, 90, 4
1749228046.504623000, 18:40:46.498785000, 3, 90, 4
1749228064.858363000, 18:41:04.852187000, 9, 90, 3
1749228083.001281000, 18:41:22.994562000, 16, 90, 4
1749228107.101013000, 18:41:47.094797000, 8, 90, 4
1749228124.044554000, 18:42:04.038496000, 5, 90, 5
1749228141.037535000, 18:42:21.031256000, 2, 90, 1
1749228158.256043000, 18:42:38.249678000, 12, 90, 4
1749228175.372001000, 18:42:55.366916000, 13, 90, 3
1749228198.530512000, 18:43:18.524191000, 19, 90, 5
1749228215.314143000, 18:43:35.308211000, 26, 90, 4
1749228232.210798000, 18:43:52.204976000, 14, 90, 4
1749228249.656077000, 18:44:09.649683000, 25, 90, 4
1749228266.402185000, 18:44:26.396144000, 15, 90, 5
1749228293.475445000, 18:44:53.468783000, 20, 90, 4
1749228310.248151000, 18:45:10.242374000, 4, 90, 3
1749228327.303903000, 18:45:27.297843000, 6, 90, 5
1749228347.750889000, 18:45:47.744628000, 11, 90, 4
1749228364.541900000, 18:46:04.536037000, 22, 90, 3
1749228382.240319000, 18:46:22.234251000, 1, 90, 2
