Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749231513.980115600, 19:38:33.966896000, 16, 90, 2
1749231562.766304200, 19:39:22.755391500, 14, 90, 2
1749231595.813166800, 19:39:55.804461500, 3, 90, 2
1749231617.943153300, 19:40:17.928554800, 26, 90, 2
1749231656.246223600, 19:40:56.234052700, 18, 90, 2
1749231675.137937400, 19:41:15.128984000, 7, 90, 2
1749231694.511150500, 19:41:34.499659700, 17, 90, 2
1749231712.776757300, 19:41:52.767714700, 25, 90, 1
1749231737.105209000, 19:42:17.092359600, 23, 90, 2
1749231756.701885500, 19:42:36.689843000, 24, 90, 2
1749231780.127260900, 19:43:00.115636000, 15, 90, 2
1749231798.150809000, 19:43:18.138153300, 12, 90, 2
1749231816.128986200, 19:43:36.117494800, 20, 90, 2
1749231833.961135600, 19:43:53.949974700, 11, 90, 2
1749231851.686675200, 19:44:11.676262900, 8, 90, 2
1749231877.595436000, 19:44:37.579908600, 9, 90, 1
1749231897.098445900, 19:44:57.086038500, 10, 90, 2
1749231916.161490700, 19:45:16.152031400, 5, 90, 2
1749231936.083036900, 19:45:36.072718800, 6, 90, 3
1749231955.616510900, 19:45:55.605433800, 21, 90, 2
1749231985.406476900, 19:46:25.398004800, 1, 90, 1
1749232003.512224800, 19:46:43.501412900, 19, 90, 2
1749232022.758017300, 19:47:02.743856100, 4, 90, 2
1749232041.711532700, 19:47:21.698511500, 13, 90, 2
1749232059.715307000, 19:47:39.701281100, 22, 90, 2
1749232078.416960900, 19:47:58.402110800, 2, 90, 1
