Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749230811.310821000, 19:26:51.305192000, 13, 90, 4
1749230829.975849000, 19:27:09.969623000, 8, 90, 4
1749230847.922868000, 19:27:27.916409000, 17, 90, 3
1749230864.563997000, 19:27:44.558011000, 1, 90, 1
1749230884.117270000, 19:28:04.110992000, 11, 90, 4
1749230903.468512000, 19:28:23.461524000, 18, 90, 3
1749230920.178713000, 19:28:40.173208000, 2, 90, 1
1749230936.565736000, 19:28:56.559749000, 14, 90, 2
1749230952.833258000, 19:29:12.827244000, 24, 90, 3
1749230970.530715000, 19:29:30.524823000, 7, 90, 4
1749231001.816525000, 19:30:01.810555000, 21, 90, 2
1749231018.396919000, 19:30:18.391449000, 3, 90, 3
1749231034.862220000, 19:30:34.856319000, 9, 90, 2
1749231051.412646000, 19:30:51.406582000, 5, 90, 3
1749231067.246473000, 19:31:07.240272000, 26, 90, 2
1749231090.540495000, 19:31:30.534353000, 19, 90, 1
1749231107.013767000, 19:31:47.007640000, 12, 90, 1
1749231123.774438000, 19:32:03.768565000, 4, 90, 2
1749231140.054695000, 19:32:20.048621000, 25, 90, 4
1749231156.664983000, 19:32:36.659023000, 22, 90, 4
1749231180.064189000, 19:33:00.058390000, 23, 90, 3
1749231197.176153000, 19:33:17.169686000, 16, 90, 2
1749231213.381662000, 19:33:33.375386000, 6, 90, 3
1749231230.058552000, 19:33:50.052553000, 15, 90, 3
1749231246.561813000, 19:34:06.555892000, 20, 90, 2
1749231263.278065000, 19:34:23.271989000, 10, 90, 2
