NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
6,90,38,5.31878399848938,0.05605763128434105,3
15,90,29,6.609992742538452,0.08573604842363777,3
25,90,24,7.196861505508423,0.10232333036569449,4
21,90,26,6.623154640197754,0.09516271468131773,5
22,90,27,6.6568708419799805,0.09455559683627769,4
2,90,15,7.301865577697754,0.12321487340060147,1
20,90,55,6.82498836517334,0.09383507208390669,3
14,90,68,6.692010402679443,0.07949760827151212,2
24,90,30,6.6397645473480225,0.10484015335470943,2
10,90,51,6.693418264389038,0.07905528762123802,2
18,90,37,3.6786041259765625,0.08218787230697333,4
13,90,44,6.622719049453735,0.09006640185480533,2
26,90,60,6.765150785446167,0.0884960412979126,0
16,90,61,6.55240797996521,0.08039913727686955,2
11,90,49,7.264940023422241,0.11027214465997158,3
3,90,45,6.738433599472046,0.07025954371593038,4
17,90,36,6.669711351394653,0.09363395340588627,2
9,90,36,6.627155065536499,0.08506382488813556,1
1,90,39,6.609507322311401,0.14960200786590577,1
7,90,75,6.929552793502808,0.07208582071157602,1
23,90,51,6.82603120803833,0.08333666073648553,2
4,90,54,6.835258722305298,0.08910307651612817,2
8,90,73,6.91670560836792,0.08072989637201483,3
12,90,59,7.00328254699707,0.08515319029490152,1
19,90,84,7.975707769393921,0.12421123186747234,1
5,90,65,7.183083772659302,0.08134283622105916,2
