Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721827790.498288200, 15:29:50.101450400, 21, 90, 3
1721827837.586024500, 15:30:36.476212000, 18, 90, 3
1721827875.324955800, 15:31:14.235561900, 12, 90, 2
1721827908.928411600, 15:31:47.840161800, 5, 90, 3
1721827945.869067400, 15:32:24.778581800, 23, 90, 2
1721827979.834386700, 15:32:58.733626600, 16, 90, 2
1721828013.737634200, 15:33:32.670163600, 25, 90, 4
1721828047.408599800, 15:34:06.255254400, 14, 90, 2
1721828080.697915800, 15:34:39.580907500, 1, 90, 3
1721828120.850998700, 15:35:19.724016300, 2, 90, 2
1721828155.108650300, 15:35:54.025043200, 20, 90, 4
1721828189.250635600, 15:36:28.114310900, 13, 90, 2
1721828224.255583400, 15:37:03.156042800, 6, 90, 2
1721828258.264548900, 15:37:37.156715400, 10, 90, 3
1721828292.406320400, 15:38:11.337052200, 15, 90, 4
1721828328.320830200, 15:38:47.210998300, 24, 90, 4
1721828364.322903300, 15:39:23.208342600, 9, 90, 3
1721828397.582054100, 15:39:56.476089300, 17, 90, 3
1721828432.993109000, 15:40:31.923594300, 26, 90, 4
1721828466.814134300, 15:41:05.758760400, 8, 90, 2
1721828500.277746300, 15:41:39.154633200, 4, 90, 2
1721828533.445140700, 15:42:12.317616300, 7, 90, 2
1721828567.459752000, 15:42:46.255084800, 3, 90, 3
1721828600.677761900, 15:43:19.604064100, 11, 90, 3
1721828634.105039300, 15:43:52.991541000, 22, 90, 3
1721828670.018230700, 15:44:28.864284800, 19, 90, 2
