Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721810753.740765200, 10:45:53.355230800, 17, 90, 3
1721810794.285318300, 10:46:33.220319500, 15, 90, 2
1721810846.874612400, 10:47:25.818446600, 14, 90, 3
1721810906.194985700, 10:48:25.041598800, 7, 90, 2
1721810942.965826500, 10:49:01.840989400, 4, 90, 0
1721810990.723314900, 10:49:49.539868300, 11, 90, 3
1721811029.348044500, 10:50:28.204382400, 13, 90, 3
1721811064.122352000, 10:51:03.006609200, 2, 90, 4
1721811097.713249100, 10:51:36.536775000, 9, 90, 3
1721811133.740792000, 10:52:12.630707500, 1, 90, 4
1721811168.810017500, 10:52:47.709873500, 26, 90, 3
1721811206.579395100, 10:53:25.474487900, 8, 90, 3
1721811242.642431000, 10:54:01.530998900, 23, 90, 3
1721811276.617598300, 10:54:35.526644800, 20, 90, 3
1721811310.442412200, 10:55:09.279169600, 25, 90, 3
1721811343.539582600, 10:55:42.426583000, 19, 90, 3
1721811377.789380100, 10:56:16.583746000, 22, 90, 4
1721811411.810625300, 10:56:50.633476300, 10, 90, 4
1721811444.822260700, 10:57:23.710745100, 24, 90, 4
1721811480.148019500, 10:57:59.016141700, 16, 90, 3
1721811513.367139100, 10:58:32.242467800, 12, 90, 3
1721811548.353060900, 10:59:07.245215500, 3, 90, 4
1721811582.394833900, 10:59:41.281444600, 5, 90, 3
1721811616.727120000, 11:00:15.636103100, 6, 90, 3
1721811649.726608600, 11:00:48.615463900, 21, 90, 3
1721811683.606436300, 11:01:22.472147200, 18, 90, 3
