NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
17,90,53,8.596069574356079,0.1078831740788051,3
15,90,51,7.206453323364258,0.09075214923956455,2
14,90,35,6.573007822036743,0.09364413280113071,3
7,90,33,7.349827289581299,0.08247734986099542,2
4,90,74,6.736927509307861,0.07438640411083515,0
11,90,44,10.022414445877075,0.09747823288566188,3
13,90,29,5.567059278488159,0.09324747986263698,3
2,90,12,7.959751844406128,0.13696128300258092,4
9,90,55,13.177599430084229,0.08095659436406316,3
1,90,11,7.248109579086304,0.14442762206582463,4
26,90,45,6.78498101234436,0.10532775984870063,3
8,90,41,5.00002121925354,0.08276720766751271,3
23,90,29,4.164620876312256,0.09197572794827548,3
20,90,22,4.266791820526123,0.09711091121037801,3
25,90,23,7.9166412353515625,0.09002803961435954,3
19,90,25,7.121160984039307,0.10108408845704177,3
22,90,20,7.095393657684326,0.09741344999094478,4
10,90,32,6.6596152782440186,0.085546448610831,4
24,90,15,6.993749618530273,0.09905472009078316,4
16,90,20,1.314591884613037,0.08565051108598709,3
12,90,28,6.904165029525757,0.10131602119981196,3
3,90,32,3.619696617126465,0.06578788958804709,4
5,90,12,4.813546180725098,0.09413976669311523,3
6,90,49,6.730906248092651,0.0537234641410209,3
21,90,15,6.587289810180664,0.09606874522878163,3
18,90,21,7.2750067710876465,0.1059859972151499,3
