Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721288327.330896300, 09:38:46.639303500, 25, 90, 2
1721288363.817885800, 09:39:22.852405200, 15, 90, 2
1721288398.509012000, 09:39:57.549239800, 7, 90, 3
1721288439.089233600, 09:40:37.791623500, 20, 90, 2
1721288471.140367900, 09:41:10.175912800, 18, 90, 3
1721288503.243531800, 09:41:42.275071900, 17, 90, 3
1721288535.341584500, 09:42:14.385797500, 2, 90, 2
1721288567.359766900, 09:42:46.415392200, 11, 90, 3
1721288599.607970500, 09:43:18.654918700, 10, 90, 2
1721288632.119246800, 09:43:51.117588100, 8, 90, 2
1721288664.004715900, 09:44:23.046145200, 14, 90, 2
1721288699.252485900, 09:44:58.284687500, 24, 90, 3
1721288731.287218900, 09:45:30.315411900, 6, 90, 1
1721288762.921353500, 09:46:01.964868200, 13, 90, 2
1721288795.383253100, 09:46:34.431543500, 12, 90, 2
1721288827.396677400, 09:47:06.453434500, 5, 90, 4
1721288859.913168000, 09:47:38.970310800, 3, 90, 3
1721288892.611424600, 09:48:11.646980800, 22, 90, 0
1721288953.576119200, 09:49:12.560508200, 23, 90, 3
1721288991.416458300, 09:49:50.378347400, 1, 90, 2
1721289025.550774100, 09:50:24.544120100, 4, 90, 2
1721289057.899535500, 09:50:56.915984200, 16, 90, 1
1721289094.483686000, 09:51:33.472823200, 26, 90, 4
1721289126.804475800, 09:52:05.834755700, 19, 90, 4
1721289159.204938800, 09:52:38.181472200, 9, 90, 2
1721289191.425713600, 09:53:10.413696100, 21, 90, 3
