NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
9,90,34,6.143397569656372,0.08291289163014245,4
2,90,21,10.314168453216553,0.14138199732853815,2
26,90,42,10.141689538955688,0.0914673155004328,5
10,90,52,9.793862104415894,0.07896427313486735,4
1,90,14,7.2026047706604,0.156644307076931,2
17,90,33,4.22545862197876,0.09440687017620734,2
6,90,62,10.16292667388916,0.05342569717994103,5
12,90,29,6.617023468017578,0.09224436200898269,4
25,90,23,6.715441942214966,0.10054751302375169,3
8,90,63,7.494359016418457,0.07695897205455883,0
18,90,25,6.796038866043091,0.10003680870181224,3
24,90,19,6.717005014419556,0.09997221917817087,3
21,90,21,6.715494632720947,0.09923425587740811,4
5,90,38,7.332998275756836,0.08735537042423171,5
3,90,36,7.344022274017334,0.06636194684612218,2
4,90,34,7.018855094909668,0.07734262558721727,1
16,90,23,4.272366523742676,0.09824692805608114,1
23,90,25,3.749135732650757,0.09718346999863446,5
13,90,29,6.556301832199097,0.09691840615765802,2
7,90,47,7.230822324752808,0.08757320670194405,3
20,90,33,6.847753286361694,0.09297011483390376,4
14,90,30,7.219241380691528,0.09755984668073983,1
15,90,27,6.6690833568573,0.08896700002379336,1
19,90,27,6.780099630355835,0.08880616467574547,3
22,90,21,6.667523145675659,0.10494743239495062,4
11,90,29,9.472935914993286,0.08600856150899615,3
