Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745013816.N, 00:03:36.N, 1, 90, 2
1745013855.N, 00:04:15.N, 15, 90, 4
1745013888.N, 00:04:48.N, 26, 90, 3
1745013920.N, 00:05:20.N, 11, 90, 3
1745013953.N, 00:05:53.N, 6, 90, 2
1745013988.N, 00:06:28.N, 13, 90, 2
1745014021.N, 00:07:01.N, 3, 90, 2
1745014053.N, 00:07:33.N, 21, 90, 3
1745014087.N, 00:08:07.N, 4, 90, 2
1745014118.N, 00:08:38.N, 22, 90, 2
1745014150.N, 00:09:10.N, 7, 90, 2
1745014181.N, 00:09:41.N, 5, 90, 2
1745014213.N, 00:10:13.N, 12, 90, 3
1745014245.N, 00:10:45.N, 9, 90, 3
1745014300.N, 00:11:40.N, 10, 90, 3
