Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720602182.073737400, 11:03:00.995723000, 15, 90, 5
1720602267.339977700, 11:04:26.269877100, 16, 90, 2
1720602308.528574100, 11:05:07.446910500, 10, 90, 5
1720602346.817539800, 11:05:45.713957800, 11, 90, 3
1720602381.296029100, 11:06:20.175828500, 7, 90, 2
1720602426.526226700, 11:07:05.471642700, 20, 90, 5
1720602474.223996300, 11:07:53.133533400, 17, 90, 3
1720602508.944321100, 11:08:27.811616200, 8, 90, 3
1720602574.937568000, 11:09:33.857803000, 3, 90, 3
1720602614.433989100, 11:10:13.326981100, 1, 90, 1
1720602648.821850000, 11:10:47.751282200, 22, 90, 2
1720602683.723228200, 11:11:22.149514200, 14, 90, 1
1720602716.604581100, 11:11:55.534915500, 4, 90, 4
1720602753.960951000, 11:12:32.887126100, 9, 90, 1
1720602787.464484900, 11:13:06.253620000, 21, 90, 2
1720602822.948438100, 11:13:41.838921200, 19, 90, 2
1720602857.108235100, 11:14:15.975957200, 26, 90, 4
1720602898.753363300, 11:14:57.637369500, 18, 90, 1
1720602931.883486900, 11:15:30.761777500, 25, 90, 2
1720602968.477438300, 11:16:07.397427500, 23, 90, 5
1720603001.508781300, 11:16:40.438021300, 5, 90, 5
1720603034.477265300, 11:17:13.369676200, 24, 90, 5
1720603067.468818400, 11:17:46.397280800, 6, 90, 2
1720603104.674717800, 11:18:23.593112600, 2, 90, 1
1720603169.014113900, 11:19:27.761725100, 13, 90, 1
1720603204.321350800, 11:20:03.231898100, 12, 90, 1
