Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721641237.912337100, 11:40:37.079372800, 3, 90, 5
1721641278.204902000, 11:41:17.155314000, 26, 90, 5
1721641312.334941300, 11:41:51.285585700, 15, 90, 0
1721641348.697154300, 11:42:27.652125300, 6, 90, 3
1721641382.112514300, 11:43:01.033199300, 13, 90, 3
1721641417.746132100, 11:43:36.685897200, 25, 90, 4
1721641450.727331700, 11:44:09.649522900, 22, 90, 5
1721641488.939268100, 11:44:47.910006600, 8, 90, 4
1721641521.891076700, 11:45:20.659174400, 5, 90, 3
1721641555.314763400, 11:45:54.282532000, 17, 90, 4
1721641588.928577000, 11:46:27.901113100, 24, 90, 4
1721641622.403124700, 11:47:01.336455400, 14, 90, 3
1721641654.570157000, 11:47:33.511952200, 12, 90, 2
1721641686.950922500, 11:48:05.903806400, 20, 90, 5
1721641720.756798200, 11:48:39.643439900, 16, 90, 2
1721641754.251843700, 11:49:13.183954300, 1, 90, 2
1721641786.657200600, 11:49:45.567643700, 23, 90, 3
1721641821.291036200, 11:50:20.216946600, 21, 90, 5
1721641853.728153400, 11:50:52.662747700, 10, 90, 4
1721641886.324568100, 11:51:25.285257200, 7, 90, 4
1721641921.875872200, 11:52:00.823665300, 9, 90, 3
1721641954.146034400, 11:52:33.106328300, 19, 90, 3
1721641986.789894600, 11:53:05.716056700, 2, 90, 3
1721642020.859798800, 11:53:39.818372900, 11, 90, 5
1721642054.040114900, 11:54:12.879901000, 18, 90, 4
1721642086.762107400, 11:54:45.724996700, 4, 90, 4
