NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
3,90,46,9.869028568267822,0.06628834992124323,5
26,90,26,6.918298959732056,0.08228880167007446,5
15,90,63,6.898535490036011,0.11490588717990452,0
6,90,47,9.543173551559448,0.05712982177734375,3
13,90,23,6.828996658325195,0.1037836856529361,3
25,90,21,9.505875587463379,0.09759972556944817,4
22,90,32,9.688987493515015,0.0878756229694073,5
8,90,49,9.84325647354126,0.07397402601039156,4
5,90,30,7.749421834945679,0.09311759030377423,3
17,90,37,9.774104595184326,0.10089186330636342,4
24,90,15,6.816837549209595,0.10095694405691964,4
14,90,39,9.99132513999939,0.09539843620137965,3
12,90,29,7.227034091949463,0.09806768936023377,2
20,90,41,6.9259443283081055,0.09350603940535565,5
16,90,35,9.979266881942749,0.09298410135156968,2
1,90,9,7.217317581176758,0.1361975732602571,2
23,90,12,6.819357395172119,0.10681160953309801,3
21,90,26,6.930368185043335,0.10054537281394005,5
10,90,39,9.673733949661255,0.07879804819822311,4
7,90,23,6.966803789138794,0.073219483898532,4
9,90,37,9.690531253814697,0.0915749470392863,3
19,90,24,6.8970723152160645,0.09297177439830343,3
2,90,8,7.979512929916382,0.13743460805792557,3
11,90,50,7.641814231872559,0.0935940146446228,5
18,90,28,9.611770629882812,0.09222292900085449,4
4,90,38,9.848740100860596,0.08467837742396764,4
