Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721657527.071488100, 16:12:06.666616400, 18, 90, 3
1721657572.663651500, 16:12:51.590522600, 15, 90, 3
1721657606.103543300, 16:13:25.018408100, 3, 90, 2
1721657640.535021700, 16:13:59.505927800, 17, 90, 2
1721657673.780178600, 16:14:32.717565800, 25, 90, 4
1721657707.528065700, 16:15:06.506837200, 7, 90, 5
1721657748.375527700, 16:15:47.332010100, 9, 90, 2
1721657781.784478500, 16:16:20.744377800, 19, 90, 4
1721657815.661198700, 16:16:54.617596000, 24, 90, 4
1721657848.924917400, 16:17:27.875061700, 11, 90, 2
1721657889.947383900, 16:18:08.927846300, 6, 90, 2
1721657923.254379100, 16:18:42.217863400, 20, 90, 2
1721657956.109072600, 16:19:15.040902600, 12, 90, 2
1721657989.038767900, 16:19:48.016876900, 2, 90, 1
1721658021.972760900, 16:20:20.903435000, 26, 90, 1
1721658054.824016100, 16:20:53.778478300, 10, 90, 2
1721658087.356618600, 16:21:26.291974700, 14, 90, 1
1721658119.870215900, 16:21:58.788609800, 23, 90, 2
1721658152.379277500, 16:22:31.304816500, 8, 90, 2
1721658185.192075500, 16:23:04.141619900, 1, 90, 1
1721658219.820008700, 16:23:38.754788700, 13, 90, 1
1721658252.377301000, 16:24:11.333979600, 16, 90, 1
1721658285.573664800, 16:24:44.549269000, 4, 90, 1
1721658320.622468100, 16:25:19.588888000, 21, 90, 3
1721658353.835961900, 16:25:52.788426000, 22, 90, 1
1721658386.446949200, 16:26:25.402744100, 5, 90, 2
