Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721915269.104705800, 15:47:48.228797300, 25, 90, 4
1721915341.658500500, 15:49:00.681453800, 2, 90, 3
1721915376.542290000, 15:49:35.417414000, 11, 90, 3
1721915410.741051300, 15:50:09.580214600, 5, 90, 4
1721915442.971007200, 15:50:41.865555000, 12, 90, 4
1721915492.643241100, 15:51:31.514355500, 3, 90, 3
1721915534.945896500, 15:52:13.808985600, 26, 90, 3
1721915592.558946100, 15:53:11.422007200, 15, 90, 4
1721915641.361108500, 15:54:00.224265300, 6, 90, 4
1721915675.937826600, 15:54:34.799238400, 20, 90, 4
1721915708.882240700, 15:55:07.752545500, 19, 90, 3
1721915742.003762900, 15:55:40.873144100, 21, 90, 4
1721915779.097808600, 15:56:18.000060600, 24, 90, 3
1721915817.933525200, 15:56:56.820333500, 14, 90, 3
1721915867.375926400, 15:57:46.265286800, 23, 90, 4
1721915901.046542500, 15:58:19.951629100, 10, 90, 4
1721915933.865587900, 15:58:52.763910000, 22, 90, 4
1721915966.662106000, 15:59:25.495780300, 4, 90, 3
1721916000.103470000, 15:59:58.940303500, 1, 90, 4
1721916039.387053300, 16:00:38.284111600, 18, 90, 2
1721916084.381385700, 16:01:23.282582400, 9, 90, 4
1721916117.365209500, 16:01:56.209293400, 17, 90, 3
1721916151.567165200, 16:02:30.415469000, 7, 90, 2
1721916184.486114900, 16:03:03.376938800, 13, 90, 4
1721916220.316095300, 16:03:39.173897700, 8, 90, 2
1721916273.427228400, 16:04:32.277900500, 16, 90, 3
