NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
25,90,25,4.196272373199463,0.10166739263842182,4
2,90,13,4.3044633865356445,0.14164280210222516,3
11,90,25,4.288177728652954,0.10915490447497758,3
5,90,27,6.4927544593811035,0.08338247537612915,4
12,90,30,6.870183944702148,0.10405251854344418,4
3,90,40,6.924715757369995,0.07138846577077672,3
26,90,26,7.742989778518677,0.09299689928690592,3
15,90,27,6.42328953742981,0.0913467804590861,4
6,90,38,4.043760538101196,0.053950894962657585,4
20,90,26,6.339981317520142,0.09818356434504191,4
19,90,28,6.867040157318115,0.09431890504700798,3
21,90,28,3.5573599338531494,0.10313323392706403,4
24,90,29,6.791384220123291,0.10368698330248817,3
14,90,26,3.917729377746582,0.10314862892545502,3
23,90,26,4.25568151473999,0.10344583988189697,4
10,90,43,6.923703193664551,0.07441510308173395,4
22,90,32,6.631712436676025,0.09858078956604004,4
4,90,46,9.99429440498352,0.08055050849914551,3
1,90,13,3.9161596298217773,0.14889306340898786,4
18,90,28,6.9004199504852295,0.10595686435699463,2
9,90,42,7.048926115036011,0.08812660199624521,4
17,90,32,6.645220518112183,0.09707409569195338,3
7,90,28,6.900258302688599,0.08189524230310473,2
13,90,25,3.418757677078247,0.09355481068293253,4
8,90,39,6.942068815231323,0.08027574053981848,2
16,90,29,7.204498052597046,0.09015264427452757,3
