Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721634881.742899600, 09:54:41.360762700, 21, 90, 5
1721634937.406969000, 09:55:36.300657300, 2, 90, 5
1721634993.040137100, 09:56:31.986370800, 12, 90, 5
1721635033.436255700, 09:57:12.333423800, 17, 90, 5
1721635089.035499200, 09:58:08.010566800, 5, 90, 4
1721635165.813204800, 09:59:24.779076700, 14, 90, 4
1721635212.133880600, 10:00:11.055550400, 23, 90, 4
1721635246.773050500, 10:00:45.253428700, 9, 90, 5
1721635283.952659600, 10:01:22.415658600, 4, 90, 4
1721635318.156616800, 10:01:57.096388500, 19, 90, 4
1721635352.269911500, 10:02:31.237783700, 16, 90, 4
1721635385.083358200, 10:03:04.032482500, 7, 90, 5
1721635418.855817200, 10:03:37.843206000, 1, 90, 4
1721635452.235103400, 10:04:11.192812000, 15, 90, 4
1721635485.471575700, 10:04:44.435682500, 18, 90, 4
1721635519.664296200, 10:05:18.619261000, 22, 90, 3
1721635553.274448000, 10:05:52.181234000, 24, 90, 4
1721635589.755666100, 10:06:28.690083100, 8, 90, 3
1721635624.084883800, 10:07:03.005032200, 6, 90, 4
1721635658.785165800, 10:07:37.880721300, 25, 90, 4
1721635691.927934900, 10:08:10.894136800, 26, 90, 4
1721635724.979237900, 10:08:43.881462900, 13, 90, 4
1721635757.524338900, 10:09:16.487017400, 20, 90, 3
1721635792.034243700, 10:09:51.006119900, 11, 90, 4
1721635826.176355200, 10:10:25.164119200, 10, 90, 4
1721635863.335871400, 10:11:02.292069300, 3, 90, 3
